Rank,Address,Balance
1,"34xp4vRoCGJym3xR7yCVPFHoCNxv4Twseowallet: Binance-coldwalletBalance:248,598 BTC ($14,916,120,644) Ins:2736 Outs:451","248,598 BTC ($14,916,120,644)"
2,"bc1qgdjqv0av3q56jvd82tkdjpy7gdp9ut8tlqmgrpmv24sq90ecnvqqjw..vw97wallet: Bitfinex-coldwalletBalance:180,010 BTC ($10,800,799,928) Ins:234 Outs:167","180,010 BTC ($10,800,799,928)"
3,"3M219KR5vEneNb47ewrPfWyb5jQ2DjxRP6wallet: Binance-coldwallet 30d:+1523 BTCBalance:142,776 BTC ($8,566,696,095) Ins:357 Outs:237","142,776 BTC ($8,566,696,095)"
4,"bc1ql49ydapnjafl5t2cp9zqpjwe6pdgmxy98859v2wallet: Robinhood-coldwalletBalance:140,625 BTC ($8,437,641,925) Ins:376 Outs:207","140,625 BTC ($8,437,641,925)"
5,"bc1qazcm763858nkj2dj986etajv6wquslv8uxwcztwallet: Bitfinex-Hack-RecoveryBalance:94,643 BTC ($5,678,711,759) Ins:108 Outs:0","94,643 BTC ($5,678,711,759)"
6,"1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uFwallet: MtGox-HackBalance:79,957 BTC ($4,797,522,765) Ins:593 Outs:0","79,957 BTC ($4,797,522,765)"
7,"bc1q8yj0herd4r4yxszw3nkfvt53433thk0f5qst4gBalance:78,317 BTC ($4,699,107,085) Ins:14 Outs:0","78,317 BTC ($4,699,107,085)"
8,"bc1qd4ysezhmypwty5dnw7c8nqy5h5nxg0xqsvaefd0qn5kq32vwnwqqgv..4rzr 7d:+3000 BTC / 30d:+6000 BTCBalance:76,000 BTC ($4,560,088,112) Ins:89 Outs:72","76,000 BTC ($4,560,088,112)"
9,"bc1qjasf9z3h7w3jspkhtgatgpyvvzgpa2wwd2lr0eh5tx44reyn2k7sfc..27a4wallet: TetherBalance:75,354 BTC ($4,521,326,801) Ins:87 Outs:60","75,354 BTC ($4,521,326,801)"
10,"1Ay8vMC7R1UbyCCZRVULMV7iQpHSAbguJPwallet: Mr.100 7d:+373.95 BTC / 30d:+6948 BTCBalance:75,079 BTC ($4,504,799,095) Ins:1302 Outs:414","75,079 BTC ($4,504,799,095)"
11,"bc1qa5wkgaew2dkv56kfvj49j0av5nml45x9ek9hz6wallet: SilkRoad-FBI-Confiscated Balance:69,370 BTC ($4,162,286,024) Ins:90 Outs:0","69,370 BTC ($4,162,286,024)"
12,"3LYJfcfHPXYJreMsASk2jkn69LWEYKzexbwallet: Binance-BTCB-ReserveBalance:68,200 BTC ($4,092,074,354) Ins:100 Outs:54","68,200 BTC ($4,092,074,354)"
13,"bc1qcv8h9hp5w8c4qpze0a4tdxw6qjtvg8yps23k0g3aymxx7jlesv4q4t..6f65wallet: Kraken-coldwallet 7d:-399.69 BTC / 30d:-767.71 BTCBalance:59,705 BTC ($3,582,365,618) Ins:89 Outs:32","59,705 BTC ($3,582,365,618)"
14,"1LdRcdxfbSnmCYYNdeYpUnztiYzVfBEQeCBalance:53,880 BTC ($3,232,862,337) Ins:184 Outs:0","53,880 BTC ($3,232,862,337)"
15,"1AC4fMwgY8j9onSbXEWeH6Zan8QGMSdmtABalance:51,830 BTC ($3,109,880,267) Ins:130 Outs:0","51,830 BTC ($3,109,880,267)"
16,"bc1q4j7fcl8zx5yl56j00nkqez9zf3f6ggqchwzzcs5hjxwqhsgxvavq3q..fgprwallet: Coincheck 7d:+47.43 BTC / 30d:+162.01 BTCBalance:46,084 BTC ($2,765,084,858) Ins:931 Outs:887","46,084 BTC ($2,765,084,858)"
17,"3PXBET2GrTwCamkeDzKCx8DeGDyrbuGKoc 30d:+45177 BTCBalance:45,177 BTC ($2,710,692,308) Ins:3 Outs:0","45,177 BTC ($2,710,692,308)"
18,"1LruNZjwamWJXThX2Y8C2d47QqhAkkc5osBalance:44,000 BTC ($2,640,052,953) Ins:60 Outs:0","44,000 BTC ($2,640,052,953)"
19,"3MgEAFWu1HKSnZ5ZsC8qf61ZW18xrP5pgdwallet: OKExBalance:41,663 BTC ($2,499,819,237) Ins:450 Outs:215","41,663 BTC ($2,499,819,237)"
21,"3LQUu4v9z6KNch71j7kbj8GPeAGUo1FW6awallet: Binance-coldwalletBalance:37,927 BTC ($2,275,665,834) Ins:36 Outs:0","37,927 BTC ($2,275,665,834)"
22,"bc1q7ydrtdn8z62xhslqyqtyt38mm4e2c4h3mxjkugwallet: UK-Gov-ConfiscatedBalance:36,000 BTC ($2,160,064,446) Ins:45 Outs:0","36,000 BTC ($2,160,064,446)"
23,"bc1qk4m9zv5tnxf2pddd565wugsjrkqkfn90aa0wypj2530f4f7tjwrqnt..penswallet: BITMEX-coldwalletBalance:35,277 BTC ($2,116,674,048) Ins:77 Outs:3","35,277 BTC ($2,116,674,048)"
24,"12Gws9EsEiDZLinu2SWkHdk7TcobjTau9uwallet: MtGox-coldwalletBalance:32,371 BTC ($1,942,314,399) Ins:6 Outs:0","32,371 BTC ($1,942,314,399)"
25,"12XqeqZRVkBDgmPLVY4ZC6Y4ruUUEug8FxBalance:32,321 BTC ($1,939,295,187) Ins:47 Outs:10","32,321 BTC ($1,939,295,187)"
26,"bc1qx9t2l3pyny2spqpqlye8svce70nppwtaxwdrp4wallet: Binance-PoolBalance:31,643 BTC ($1,898,638,359) Ins:4748 Outs:1","31,643 BTC ($1,898,638,359)"
27,"3FHNBLobJnbCTFTVakh5TXmEneyf5PT61Bwallet: Binance-coldwalletBalance:31,275 BTC ($1,876,555,078) Ins:38 Outs:0","31,275 BTC ($1,876,555,078)"
28,"12ib7dApVFvg82TXKycWBNpN8kFyiAN1drwallet: 967Balance:31,000 BTC ($1,860,038,094) Ins:174 Outs:4","31,000 BTC ($1,860,038,094)"
29,"12tkqA9xSoowkzoERHMWNKsTey55YEBqkvBalance:28,151 BTC ($1,689,094,105) Ins:158 Outs:0","28,151 BTC ($1,689,094,105)"
30,"39eYrpgAgDhp4tTjrSb1ppZ5kdAc1ikBYwBalance:26,139 BTC ($1,568,391,429) Ins:7 Outs:1","26,139 BTC ($1,568,391,429)"
31,"bc1qr4dl5wa7kl8yu792dceg9z5knl2gkn220lk7a9wallet: Crypto.com-coldwallet 7d:-110.3 BTC / 30d:+122.21 BTCBalance:25,869 BTC ($1,552,189,400) Ins:28830 Outs:26978","25,869 BTC ($1,552,189,400)"
32,"1Pzaqw98PeRfyHypfqyEgg5yycJRsENrE7wallet: Binance-coldwallet 7d:-4926 BTC / 30d:+19328 BTCBalance:24,789 BTC ($1,487,359,703) Ins:84 Outs:60","24,789 BTC ($1,487,359,703)"
33,"17MWdxfjPYP2PYhdy885QtihfbW181r1rnBalance:24,495 BTC ($1,469,747,614) Ins:24 Outs:0","24,495 BTC ($1,469,747,614)"
34,"38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67 2-of-6wallet: OKExBalance:24,067 BTC ($1,444,044,449) Ins:313 Outs:224","24,067 BTC ($1,444,044,449)"
35,"19D5J8c59P2bAkWKvxSYw8scD3KUNWoZ1CBalance:23,969 BTC ($1,438,166,120) Ins:28 Outs:0","23,969 BTC ($1,438,166,120)"
36,"15cHRgVrGKz7qp2JL2N5mkB2MCFGLcnHxvBalance:23,375 BTC ($1,402,525,758) Ins:44 Outs:2","23,375 BTC ($1,402,525,758)"
37,"bc1qhxf9ckyz7sw8h6vkvdlffntmsu6fz8m3pdzgvwwallet: Revolut-coldwalletBalance:23,323 BTC ($1,399,389,890) Ins:16 Outs:0","23,323 BTC ($1,399,389,890)"
38,"bc1qe2n7t4h47l33cazdlfa0hzs5tfke35dzj6tzuy 7d:+18159 BTC / 30d:+23085 BTCBalance:23,085 BTC ($1,385,102,458) Ins:27 Outs:0","23,085 BTC ($1,385,102,458)"
39,"3JZq4atUahhuA9rLhXLMhhTo133J9rF97jwallet: Bitfinex-coldwallet 7d:+126.82 BTC / 30d:-548.31 BTCBalance:22,694 BTC ($1,361,691,644) Ins:5145 Outs:5118","22,694 BTC ($1,361,691,644)"
40,"3HfD4pvF43jdu9dzVMEr1b8AnDHooRGc5t 3-of-9wallet: 107121673Balance:20,271 BTC ($1,216,311,672) Ins:13 Outs:2","20,271 BTC ($1,216,311,672)"
41,"bc1qcpflj68s3ahy4xajez4d8v3vk28pvf7qte2jmlftvxzfke2u6mqsge..3gvh 7d:+514 BTC / 30d:+1060 BTCBalance:20,155 BTC ($1,209,321,803) Ins:135 Outs:125","20,155 BTC ($1,209,321,803)"
42,"17rm2dvb439dZqyMe2d4D6AQJSgg6yeNRnBalance:20,008 BTC ($1,200,501,847) Ins:79 Outs:1","20,008 BTC ($1,200,501,847)"
43,"bc1qngydl7hmgdtmuqjmtsyj3pcwszv0yn5mj6kz4cwallet: SilkRoad-DOJ-ConfiscatedBalance:19,800 BTC ($1,188,021,017) Ins:17 Outs:0","19,800 BTC ($1,188,021,017)"
44,"1PeizMg76Cf96nUQrYg8xuoZWLQozU5zGWBalance:19,414 BTC ($1,164,886,957) Ins:115 Outs:0","19,414 BTC ($1,164,886,957)"
45,"3EMVdMehEq5SFipQ5UfbsfMsH223sSz9A9 4-of-8Balance:19,209 BTC ($1,152,550,371) Ins:69 Outs:45","19,209 BTC ($1,152,550,371)"
46,"bc1qchctnvmdva5z9vrpxkkxck64v7nmzdtyxsrq64wallet: BitMEX 7d:+16.07 BTC / 30d:-131.85 BTCBalance:18,800 BTC ($1,128,023,728) Ins:516 Outs:511","18,800 BTC ($1,128,023,728)"
47,"bc1qjh0akslml59uuczddqu0y4p3vj64hg5mc94c40wallet: Kraken-coldwallet 7d:+500 BTC / 30d:+500 BTCBalance:18,559 BTC ($1,113,532,274) Ins:1220 Outs:162","18,559 BTC ($1,113,532,274)"
48,"bc1qcdqj2smprre85c78d942wx5tauw5n7uw92r7wrwallet: Crypto.com-coldwallet 7d:+175.42 BTC / 30d:-1.81 BTCBalance:18,552 BTC ($1,113,146,926) Ins:34516 Outs:29728","18,552 BTC ($1,113,146,926)"
49,"bc1qy0wxk2v2lv8wqxpjtupzx7lykla4c3y5wf5u7gBalance:18,400 BTC ($1,104,022,772) Ins:4 Outs:0","18,400 BTC ($1,104,022,772)"
50,"bc1qx2x5cqhymfcnjtg902ky6u5t5htmt7fvqztdsm028hkrvxcl4t2sjt..pd9lwallet: Bitbank-coldwallet 7d:-42.09 BTC / 30d:+297.32 BTCBalance:17,996 BTC ($1,079,788,912) Ins:3485 Outs:3462","17,996 BTC ($1,079,788,912)"
51,"143gLvWYUojXaWZRrxquRKpVNTkhmr415Bwallet: Huobi-coldwallet 7d:-500 BTC / 30d:+6525 BTCBalance:17,276 BTC ($1,036,555,200) Ins:320 Outs:139","17,276 BTC ($1,036,555,200)"
52,"bc1qxezna9h8dut8y4s30pjaw0ftk6nqen4rwe7wmm 7d:+784.57 BTC / 30d:+16569 BTCBalance:16,569 BTC ($994,143,989) Ins:10 Outs:0","16,569 BTC ($994,143,989)"
53,"34HpHYiyQwg69gFmCq2BGHjF1DZnZnBeBPwallet: Binance-coldwalletBalance:16,307 BTC ($978,415,452) Ins:15 Outs:0","16,307 BTC ($978,415,452)"
54,"bc1q968e7dl5cq938tz87uwqyyd4and4mjhgyelfyqwallet: OKEx 30d:+2600 BTCBalance:16,164 BTC ($969,853,726) Ins:5 Outs:0","16,164 BTC ($969,853,726)"
55,"1GR9qNz7zgtaW5HwwVpEJWMnGWhsbsieCGBalance:15,746 BTC ($944,750,668) Ins:76 Outs:1","15,746 BTC ($944,750,668)"
56,"1CNtkWbb4grh8xtb8mhoZ6armNE9PHgzA8 7d:+8.79 BTC / 30d:+8.79 BTCBalance:14,441 BTC ($866,455,353) Ins:104 Outs:6","14,441 BTC ($866,455,353)"
57,"39gUvGynQ7Re3i15G3J2gp9DEB9LnLFPMN 7d:-850.01 BTC / 30d:-340 BTCBalance:14,162 BTC ($849,747,826) Ins:304 Outs:270","14,162 BTC ($849,747,826)"
58,"bc1q6qphr80zug3v37xf503a7atzfn3au2fz0dy9ek 7d:+14002 BTC / 30d:+14002 BTCBalance:14,002 BTC ($840,125,385) Ins:774 Outs:767","14,002 BTC ($840,125,385)"
59,"1BZaYtmXka1y3Byi2yvXCDG92Tjz7ecwYjBalance:14,000 BTC ($840,015,264) Ins:61 Outs:0","14,000 BTC ($840,015,264)"
60,"bc1qk7fy6qumtdkjy765ujxqxe0my55ake0zefa2dmt6sjx2sr098d8qf2..6ufn 7d:+30 BTC / 30d:-514.79 BTCBalance:13,712 BTC ($822,754,710) Ins:144 Outs:37","13,712 BTC ($822,754,710)"
61,"bc1q4vxn43l44h30nkluqfxd9eckf45vr2awz38lwawallet: UK-Gov-ConfiscatedBalance:13,003 BTC ($780,195,455) Ins:19 Outs:0","13,003 BTC ($780,195,455)"
62,"1932eKraQ3Ad9MeNBHb14WFQbNrLaKeEpTwallet: Deribit-coldwalletBalance:12,900 BTC ($774,000,779) Ins:42 Outs:3","12,900 BTC ($774,000,779)"
63,"1CiAnTJn6eHTU89PeihdMhT7KcQZxVZ4fyBalance:12,858 BTC ($771,492,257) Ins:19 Outs:0","12,858 BTC ($771,492,257)"
64,"bc1qkmk4v2xn29yge68fq6zh7gvfdqrvpq3v3p3y0swallet: Bitfinex-Hack-RecoveryBalance:12,267 BTC ($736,034,709) Ins:3 Outs:0","12,267 BTC ($736,034,709)"
65,"1PJiGp2yDLvUgqeBsuZVCBADArNsk6XEiwwallet: Binance-coldwallet 7d:-74 BTC / 30d:-828 BTCBalance:12,172 BTC ($730,333,640) Ins:50 Outs:21","12,172 BTC ($730,333,640)"
66,"bc1qtrxc0use4hlm7fl0j6t37z7qlwl5eppj8lywz6wallet: Kraken-coldwallet 7d:+12.26 BTC / 30d:+12.26 BTCBalance:12,165 BTC ($729,933,032) Ins:969 Outs:148","12,165 BTC ($729,933,032)"
67,"1PuQBjpPfAuANa3KM4HBdfF98BC7wnWhTb 30d:+12000 BTCBalance:12,000 BTC ($720,021,923) Ins:1 Outs:0","12,000 BTC ($720,021,923)"
68,"bc1q5vwscmf85w2vlq0qvr33dgpvu5rlrd42cqw6qn 7d:-74.52 BTC / 30d:-1604 BTCBalance:11,126 BTC ($667,552,642) Ins:297 Outs:296","11,126 BTC ($667,552,642)"
69,"39EJqV1utdhgGWc4L89MwFhYppuGDmsuAf 30d:+10915 BTCBalance:10,915 BTC ($654,906,401) Ins:1 Outs:0","10,915 BTC ($654,906,401)"
70,"3FM9vDYsN2iuMPKWjAcqgyahdwdrUxhbJ3wallet: OKEx 7d:+84.85 BTC / 30d:-56.56 BTCBalance:10,860 BTC ($651,631,797) Ins:140 Outs:61","10,860 BTC ($651,631,797)"
71,"1F34duy2eeMz5mSrvFepVzy7Y1rBsnAyWCBalance:10,771 BTC ($646,243,855) Ins:104 Outs:0","10,771 BTC ($646,243,855)"
72,"bc1q7t9fxfaakmtk8pj7tdxjvwsng6y9x76czuaf5hwallet: Binance-coldwalletBalance:10,650 BTC ($639,011,578) Ins:3 Outs:1","10,650 BTC ($639,011,578)"
73,"3FupZp77ySr7jwoLYEJ9mwzJpvoNBXsBnEwallet: OKEx 7d:+4.11 BTC / 30d:-2819 BTCBalance:10,634 BTC ($638,027,397) Ins:1070 Outs:1019","10,634 BTC ($638,027,397)"
74,"bc1qxlth5har0qasqvattsjvgp80st2x402u5shuudBalance:10,500 BTC ($630,011,726) Ins:3 Outs:0","10,500 BTC ($630,011,726)"
75,"3Jyi6RfokawNhkjWHtTnsFRd3o6mAjiK1yBalance:10,475 BTC ($628,482,440) Ins:2 Outs:0","10,475 BTC ($628,482,440)"
76,"1Q8QR5k32hexiMQnRgkJ6fmmjn5fMWhdv9wallet: Binance-PoolBalance:10,217 BTC ($613,014,319) Ins:1599 Outs:0","10,217 BTC ($613,014,319)"
77,"3G98jSULfhrES1J9HKfZdDjXx1sTNvHkhN 7d:+2162 BTC / 30d:+3484 BTCBalance:10,043 BTC ($602,587,932) Ins:89 Outs:45","10,043 BTC ($602,587,932)"
78,"1f1miYFQWTzdLiCBxtHHnNiW7WAWPUccrBalance:10,009 BTC ($600,566,658) Ins:82 Outs:0","10,009 BTC ($600,566,658)"
79,"bc1qsxdxm0exqdsmnl9ejrz250xqxrxpxkgf5nhhtqBalance:10,002 BTC ($600,115,300) Ins:9 Outs:0","10,002 BTC ($600,115,300)"
