Rank,Address,Balance
1,"34xp4vRoCGJym3xR7yCVPFHoCNxv4Twseowallet: Binance-coldwalletBalance:248,598 BTC ($14,925,007,053) Ins:2736 Outs:451","248,598 BTC ($14,925,007,053)"
2,"bc1qgdjqv0av3q56jvd82tkdjpy7gdp9ut8tlqmgrpmv24sq90ecnvqqjw..vw97wallet: Bitfinex-coldwalletBalance:180,010 BTC ($10,807,234,598) Ins:234 Outs:167","180,010 BTC ($10,807,234,598)"
3,"3M219KR5vEneNb47ewrPfWyb5jQ2DjxRP6wallet: Binance-coldwallet 30d:+1523 BTCBalance:142,776 BTC ($8,571,799,778) Ins:357 Outs:237","142,776 BTC ($8,571,799,778)"
4,"bc1ql49ydapnjafl5t2cp9zqpjwe6pdgmxy98859v2wallet: Robinhood-coldwalletBalance:140,625 BTC ($8,442,668,724) Ins:376 Outs:207","140,625 BTC ($8,442,668,724)"
5,"bc1qazcm763858nkj2dj986etajv6wquslv8uxwcztwallet: Bitfinex-Hack-RecoveryBalance:94,643 BTC ($5,682,094,900) Ins:108 Outs:0","94,643 BTC ($5,682,094,900)"
6,"1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uFwallet: MtGox-HackBalance:79,957 BTC ($4,800,380,931) Ins:593 Outs:0","79,957 BTC ($4,800,380,931)"
7,"bc1q8yj0herd4r4yxszw3nkfvt53433thk0f5qst4gBalance:78,317 BTC ($4,701,906,619) Ins:14 Outs:0","78,317 BTC ($4,701,906,619)"
8,"bc1qd4ysezhmypwty5dnw7c8nqy5h5nxg0xqsvaefd0qn5kq32vwnwqqgv..4rzr 7d:+3000 BTC / 30d:+6000 BTCBalance:76,000 BTC ($4,562,804,824) Ins:89 Outs:72","76,000 BTC ($4,562,804,824)"
9,"bc1qjasf9z3h7w3jspkhtgatgpyvvzgpa2wwd2lr0eh5tx44reyn2k7sfc..27a4wallet: TetherBalance:75,354 BTC ($4,524,020,421) Ins:87 Outs:60","75,354 BTC ($4,524,020,421)"
10,"1Ay8vMC7R1UbyCCZRVULMV7iQpHSAbguJPwallet: Mr.100 7d:+462.68 BTC / 30d:+7454 BTCBalance:75,079 BTC ($4,507,482,868) Ins:1302 Outs:414","75,079 BTC ($4,507,482,868)"
11,"bc1qa5wkgaew2dkv56kfvj49j0av5nml45x9ek9hz6wallet: SilkRoad-FBI-Confiscated Balance:69,370 BTC ($4,164,765,742) Ins:90 Outs:0","69,370 BTC ($4,164,765,742)"
12,"3LYJfcfHPXYJreMsASk2jkn69LWEYKzexbwallet: Binance-BTCB-ReserveBalance:68,200 BTC ($4,094,512,243) Ins:100 Outs:54","68,200 BTC ($4,094,512,243)"
13,"bc1qcv8h9hp5w8c4qpze0a4tdxw6qjtvg8yps23k0g3aymxx7jlesv4q4t..6f65wallet: Kraken-coldwallet 7d:-399.69 BTC / 30d:-833.32 BTCBalance:59,705 BTC ($3,584,499,843) Ins:89 Outs:32","59,705 BTC ($3,584,499,843)"
14,"1LdRcdxfbSnmCYYNdeYpUnztiYzVfBEQeCBalance:53,880 BTC ($3,234,788,343) Ins:184 Outs:0","53,880 BTC ($3,234,788,343)"
15,"1AC4fMwgY8j9onSbXEWeH6Zan8QGMSdmtABalance:51,830 BTC ($3,111,733,005) Ins:130 Outs:0","51,830 BTC ($3,111,733,005)"
