Rank,Address,Balance
1,"34xp4vRoCGJym3xR7yCVPFHoCNxv4Twseowallet: Binance-coldwalletBalance:248,598 BTC ($14,853,010,721) Ins:2736 Outs:451","248,598 BTC ($14,853,010,721)"
2,"bc1qgdjqv0av3q56jvd82tkdjpy7gdp9ut8tlqmgrpmv24sq90ecnvqqjw..vw97wallet: Bitfinex-coldwalletBalance:180,010 BTC ($10,755,101,876) Ins:234 Outs:167","180,010 BTC ($10,755,101,876)"
3,"3M219KR5vEneNb47ewrPfWyb5jQ2DjxRP6wallet: Binance-coldwallet 30d:+1523 BTCBalance:142,776 BTC ($8,530,450,509) Ins:357 Outs:237","142,776 BTC ($8,530,450,509)"
4,"bc1ql49ydapnjafl5t2cp9zqpjwe6pdgmxy98859v2wallet: Robinhood-coldwalletBalance:140,625 BTC ($8,401,942,366) Ins:376 Outs:207","140,625 BTC ($8,401,942,366)"
5,"bc1qazcm763858nkj2dj986etajv6wquslv8uxwcztwallet: Bitfinex-Hack-RecoveryBalance:94,643 BTC ($5,654,685,199) Ins:108 Outs:0","94,643 BTC ($5,654,685,199)"
6,"1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uFwallet: MtGox-HackBalance:79,957 BTC ($4,777,224,505) Ins:593 Outs:0","79,957 BTC ($4,777,224,505)"
7,"bc1q8yj0herd4r4yxszw3nkfvt53433thk0f5qst4gBalance:78,317 BTC ($4,679,225,221) Ins:14 Outs:0","78,317 BTC ($4,679,225,221)"
8,"bc1qd4ysezhmypwty5dnw7c8nqy5h5nxg0xqsvaefd0qn5kq32vwnwqqgv..4rzr 7d:+3000 BTC / 30d:+6000 BTCBalance:76,000 BTC ($4,540,794,435) Ins:89 Outs:72","76,000 BTC ($4,540,794,435)"
9,"bc1qjasf9z3h7w3jspkhtgatgpyvvzgpa2wwd2lr0eh5tx44reyn2k7sfc..27a4wallet: TetherBalance:75,354 BTC ($4,502,197,123) Ins:87 Outs:60","75,354 BTC ($4,502,197,123)"
10,"1Ay8vMC7R1UbyCCZRVULMV7iQpHSAbguJPwallet: Mr.100 7d:+462.68 BTC / 30d:+7454 BTCBalance:75,079 BTC ($4,485,739,345) Ins:1302 Outs:414","75,079 BTC ($4,485,739,345)"
11,"bc1qa5wkgaew2dkv56kfvj49j0av5nml45x9ek9hz6wallet: SilkRoad-FBI-Confiscated Balance:69,370 BTC ($4,144,675,443) Ins:90 Outs:0","69,370 BTC ($4,144,675,443)"
12,"3LYJfcfHPXYJreMsASk2jkn69LWEYKzexbwallet: Binance-BTCB-ReserveBalance:68,200 BTC ($4,074,760,838) Ins:100 Outs:54","68,200 BTC ($4,074,760,838)"
13,"bc1qcv8h9hp5w8c4qpze0a4tdxw6qjtvg8yps23k0g3aymxx7jlesv4q4t..6f65wallet: Kraken-coldwallet 7d:-399.69 BTC / 30d:-833.32 BTCBalance:59,705 BTC ($3,567,208,673) Ins:89 Outs:32","59,705 BTC ($3,567,208,673)"
14,"1LdRcdxfbSnmCYYNdeYpUnztiYzVfBEQeCBalance:53,880 BTC ($3,219,184,136) Ins:184 Outs:0","53,880 BTC ($3,219,184,136)"
15,"1AC4fMwgY8j9onSbXEWeH6Zan8QGMSdmtABalance:51,830 BTC ($3,096,722,401) Ins:130 Outs:0","51,830 BTC ($3,096,722,401)"
16,"bc1q4j7fcl8zx5yl56j00nkqez9zf3f6ggqchwzzcs5hjxwqhsgxvavq3q..fgprwallet: Coincheck 7d:+62.85 BTC / 30d:+253.44 BTCBalance:46,084 BTC ($2,753,385,818) Ins:931 Outs:887","46,084 BTC ($2,753,385,818)"
17,"3PXBET2GrTwCamkeDzKCx8DeGDyrbuGKoc 30d:+45177 BTCBalance:45,177 BTC ($2,699,223,402) Ins:3 Outs:0","45,177 BTC ($2,699,223,402)"
18,"1LruNZjwamWJXThX2Y8C2d47QqhAkkc5osBalance:44,000 BTC ($2,628,882,921) Ins:60 Outs:0","44,000 BTC ($2,628,882,921)"
19,"3MgEAFWu1HKSnZ5ZsC8qf61ZW18xrP5pgdwallet: OKExBalance:41,663 BTC ($2,489,242,532) Ins:450 Outs:215","41,663 BTC ($2,489,242,532)"
21,"3LQUu4v9z6KNch71j7kbj8GPeAGUo1FW6awallet: Binance-coldwalletBalance:37,927 BTC ($2,266,037,520) Ins:36 Outs:0","37,927 BTC ($2,266,037,520)"
22,"bc1q7ydrtdn8z62xhslqyqtyt38mm4e2c4h3mxjkugwallet: UK-Gov-ConfiscatedBalance:36,000 BTC ($2,150,925,240) Ins:45 Outs:0","36,000 BTC ($2,150,925,240)"
23,"bc1qk4m9zv5tnxf2pddd565wugsjrkqkfn90aa0wypj2530f4f7tjwrqnt..penswallet: BITMEX-coldwalletBalance:35,277 BTC ($2,107,718,426) Ins:77 Outs:3","35,277 BTC ($2,107,718,426)"
24,"12Gws9EsEiDZLinu2SWkHdk7TcobjTau9uwallet: MtGox-coldwalletBalance:32,371 BTC ($1,934,096,490) Ins:6 Outs:0","32,371 BTC ($1,934,096,490)"
25,"12XqeqZRVkBDgmPLVY4ZC6Y4ruUUEug8FxBalance:32,321 BTC ($1,931,090,053) Ins:47 Outs:10","32,321 BTC ($1,931,090,053)"
26,"bc1qx9t2l3pyny2spqpqlye8svce70nppwtaxwdrp4wallet: Binance-PoolBalance:31,643 BTC ($1,890,605,243) Ins:4748 Outs:1","31,643 BTC ($1,890,605,243)"
27,"3FHNBLobJnbCTFTVakh5TXmEneyf5PT61Bwallet: Binance-coldwalletBalance:31,275 BTC ($1,868,615,396) Ins:38 Outs:0","31,275 BTC ($1,868,615,396)"
28,"12ib7dApVFvg82TXKycWBNpN8kFyiAN1drwallet: 967Balance:31,000 BTC ($1,852,168,296) Ins:174 Outs:4","31,000 BTC ($1,852,168,296)"
29,"12tkqA9xSoowkzoERHMWNKsTey55YEBqkvBalance:28,151 BTC ($1,681,947,569) Ins:158 Outs:0","28,151 BTC ($1,681,947,569)"
30,"39eYrpgAgDhp4tTjrSb1ppZ5kdAc1ikBYwBalance:26,139 BTC ($1,561,755,584) Ins:7 Outs:1","26,139 BTC ($1,561,755,584)"
31,"bc1qr4dl5wa7kl8yu792dceg9z5knl2gkn220lk7a9wallet: Crypto.com-coldwallet 7d:+0.7235 BTC / 30d:+409.03 BTCBalance:25,847 BTC ($1,544,308,687) Ins:28819 Outs:26978","25,847 BTC ($1,544,308,687)"
32,"1Pzaqw98PeRfyHypfqyEgg5yycJRsENrE7wallet: Binance-coldwallet 7d:-4926 BTC / 30d:+19328 BTCBalance:24,789 BTC ($1,481,066,702) Ins:84 Outs:60","24,789 BTC ($1,481,066,702)"
33,"17MWdxfjPYP2PYhdy885QtihfbW181r1rnBalance:24,495 BTC ($1,463,529,130) Ins:24 Outs:0","24,495 BTC ($1,463,529,130)"
34,"38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67 2-of-6wallet: OKExBalance:24,067 BTC ($1,437,934,715) Ins:313 Outs:224","24,067 BTC ($1,437,934,715)"
35,"19D5J8c59P2bAkWKvxSYw8scD3KUNWoZ1CBalance:23,969 BTC ($1,432,081,257) Ins:28 Outs:0","23,969 BTC ($1,432,081,257)"
36,"15cHRgVrGKz7qp2JL2N5mkB2MCFGLcnHxvBalance:23,375 BTC ($1,396,591,688) Ins:44 Outs:2","23,375 BTC ($1,396,591,688)"
37,"bc1qhxf9ckyz7sw8h6vkvdlffntmsu6fz8m3pdzgvwwallet: Revolut-coldwalletBalance:23,323 BTC ($1,393,469,088) Ins:16 Outs:0","23,323 BTC ($1,393,469,088)"
38,"bc1qe2n7t4h47l33cazdlfa0hzs5tfke35dzj6tzuy 7d:+18159 BTC / 30d:+23085 BTCBalance:23,085 BTC ($1,379,242,106) Ins:27 Outs:0","23,085 BTC ($1,379,242,106)"
39,"3JZq4atUahhuA9rLhXLMhhTo133J9rF97jwallet: Bitfinex-coldwallet 7d:+338.35 BTC / 30d:-548.31 BTCBalance:22,694 BTC ($1,355,930,344) Ins:5145 Outs:5118","22,694 BTC ($1,355,930,344)"
40,"3HfD4pvF43jdu9dzVMEr1b8AnDHooRGc5t 3-of-9wallet: 107121673Balance:20,271 BTC ($1,211,165,473) Ins:13 Outs:2","20,271 BTC ($1,211,165,473)"
41,"bc1qcpflj68s3ahy4xajez4d8v3vk28pvf7qte2jmlftvxzfke2u6mqsge..3gvh 7d:+514 BTC / 30d:+1060 BTCBalance:20,155 BTC ($1,204,205,177) Ins:135 Outs:125","20,155 BTC ($1,204,205,177)"
42,"17rm2dvb439dZqyMe2d4D6AQJSgg6yeNRnBalance:20,008 BTC ($1,195,422,538) Ins:79 Outs:1","20,008 BTC ($1,195,422,538)"
43,"bc1qngydl7hmgdtmuqjmtsyj3pcwszv0yn5mj6kz4cwallet: SilkRoad-DOJ-ConfiscatedBalance:19,800 BTC ($1,182,994,514) Ins:17 Outs:0","19,800 BTC ($1,182,994,514)"
44,"1PeizMg76Cf96nUQrYg8xuoZWLQozU5zGWBalance:19,414 BTC ($1,159,958,335) Ins:115 Outs:0","19,414 BTC ($1,159,958,335)"
45,"3EMVdMehEq5SFipQ5UfbsfMsH223sSz9A9 4-of-8Balance:19,209 BTC ($1,147,673,944) Ins:69 Outs:45","19,209 BTC ($1,147,673,944)"
46,"bc1qchctnvmdva5z9vrpxkkxck64v7nmzdtyxsrq64wallet: BitMEX 7d:+16.07 BTC / 30d:-131.85 BTCBalance:18,800 BTC ($1,123,251,074) Ins:516 Outs:511","18,800 BTC ($1,123,251,074)"
47,"bc1qjh0akslml59uuczddqu0y4p3vj64hg5mc94c40wallet: Kraken-coldwallet 7d:+500 BTC / 30d:+500 BTCBalance:18,559 BTC ($1,108,820,933) Ins:1220 Outs:162","18,559 BTC ($1,108,820,933)"
48,"bc1qcdqj2smprre85c78d942wx5tauw5n7uw92r7wrwallet: Crypto.com-coldwallet 7d:+186.26 BTC / 30d:+36.63 BTCBalance:18,551 BTC ($1,108,362,431) Ins:34503 Outs:29728","18,551 BTC ($1,108,362,431)"
49,"bc1qy0wxk2v2lv8wqxpjtupzx7lykla4c3y5wf5u7gBalance:18,400 BTC ($1,099,351,665) Ins:4 Outs:0","18,400 BTC ($1,099,351,665)"
50,"bc1qx2x5cqhymfcnjtg902ky6u5t5htmt7fvqztdsm028hkrvxcl4t2sjt..pd9lwallet: Bitbank-coldwallet 7d:-39.14 BTC / 30d:+311.56 BTCBalance:17,996 BTC ($1,075,220,338) Ins:3485 Outs:3462","17,996 BTC ($1,075,220,338)"
51,"143gLvWYUojXaWZRrxquRKpVNTkhmr415Bwallet: Huobi-coldwallet 7d:+6662 BTC / 30d:+6745 BTCBalance:17,276 BTC ($1,032,169,547) Ins:320 Outs:139","17,276 BTC ($1,032,169,547)"
52,"bc1qxezna9h8dut8y4s30pjaw0ftk6nqen4rwe7wmm 7d:+878.94 BTC / 30d:+16569 BTCBalance:16,569 BTC ($989,937,778) Ins:10 Outs:0","16,569 BTC ($989,937,778)"
53,"34HpHYiyQwg69gFmCq2BGHjF1DZnZnBeBPwallet: Binance-coldwalletBalance:16,307 BTC ($974,275,788) Ins:15 Outs:0","16,307 BTC ($974,275,788)"
54,"bc1q968e7dl5cq938tz87uwqyyd4and4mjhgyelfyqwallet: OKEx 30d:+2600 BTCBalance:16,164 BTC ($965,750,286) Ins:5 Outs:0","16,164 BTC ($965,750,286)"
55,"1GR9qNz7zgtaW5HwwVpEJWMnGWhsbsieCGBalance:15,746 BTC ($940,753,440) Ins:76 Outs:1","15,746 BTC ($940,753,440)"
56,"1CNtkWbb4grh8xtb8mhoZ6armNE9PHgzA8 7d:+8.79 BTC / 30d:+8.79 BTCBalance:14,441 BTC ($862,789,391) Ins:104 Outs:6","14,441 BTC ($862,789,391)"
57,"39gUvGynQ7Re3i15G3J2gp9DEB9LnLFPMN 7d:-850.01 BTC / 30d:-340 BTCBalance:14,162 BTC ($846,152,554) Ins:304 Outs:270","14,162 BTC ($846,152,554)"
58,"bc1q6qphr80zug3v37xf503a7atzfn3au2fz0dy9ek 7d:+14004 BTC / 30d:+14004 BTCBalance:14,004 BTC ($836,718,996) Ins:749 Outs:742","14,004 BTC ($836,718,996)"
59,"1BZaYtmXka1y3Byi2yvXCDG92Tjz7ecwYjBalance:14,000 BTC ($836,461,169) Ins:61 Outs:0","14,000 BTC ($836,461,169)"
60,"bc1qk7fy6qumtdkjy765ujxqxe0my55ake0zefa2dmt6sjx2sr098d8qf2..6ufn 7d:+30 BTC / 30d:-514.79 BTCBalance:13,712 BTC ($819,273,645) Ins:144 Outs:37","13,712 BTC ($819,273,645)"
61,"bc1q4vxn43l44h30nkluqfxd9eckf45vr2awz38lwawallet: UK-Gov-ConfiscatedBalance:13,003 BTC ($776,894,458) Ins:19 Outs:0","13,003 BTC ($776,894,458)"
62,"1932eKraQ3Ad9MeNBHb14WFQbNrLaKeEpTwallet: Deribit-coldwalletBalance:12,900 BTC ($770,725,991) Ins:42 Outs:3","12,900 BTC ($770,725,991)"
63,"1CiAnTJn6eHTU89PeihdMhT7KcQZxVZ4fyBalance:12,858 BTC ($768,228,082) Ins:19 Outs:0","12,858 BTC ($768,228,082)"
64,"bc1qkmk4v2xn29yge68fq6zh7gvfdqrvpq3v3p3y0swallet: Bitfinex-Hack-RecoveryBalance:12,267 BTC ($732,920,555) Ins:3 Outs:0","12,267 BTC ($732,920,555)"
65,"1PJiGp2yDLvUgqeBsuZVCBADArNsk6XEiwwallet: Binance-coldwallet 7d:-74 BTC / 30d:-828 BTCBalance:12,172 BTC ($727,243,608) Ins:50 Outs:21","12,172 BTC ($727,243,608)"
66,"bc1qtrxc0use4hlm7fl0j6t37z7qlwl5eppj8lywz6wallet: Kraken-coldwallet 7d:+12.26 BTC / 30d:+12.26 BTCBalance:12,165 BTC ($726,844,694) Ins:969 Outs:148","12,165 BTC ($726,844,694)"
67,"1PuQBjpPfAuANa3KM4HBdfF98BC7wnWhTb 30d:+12000 BTCBalance:12,000 BTC ($716,975,519) Ins:1 Outs:0","12,000 BTC ($716,975,519)"
68,"bc1q5vwscmf85w2vlq0qvr33dgpvu5rlrd42cqw6qn 7d:-94.52 BTC / 30d:-1640 BTCBalance:11,126 BTC ($664,728,235) Ins:297 Outs:296","11,126 BTC ($664,728,235)"
69,"39EJqV1utdhgGWc4L89MwFhYppuGDmsuAf 30d:+10915 BTCBalance:10,915 BTC ($652,135,500) Ins:1 Outs:0","10,915 BTC ($652,135,500)"
70,"3FM9vDYsN2iuMPKWjAcqgyahdwdrUxhbJ3wallet: OKEx 7d:+84.85 BTC / 30d:-56.56 BTCBalance:10,860 BTC ($648,874,751) Ins:140 Outs:61","10,860 BTC ($648,874,751)"
71,"1F34duy2eeMz5mSrvFepVzy7Y1rBsnAyWCBalance:10,771 BTC ($643,509,605) Ins:104 Outs:0","10,771 BTC ($643,509,605)"
72,"bc1q7t9fxfaakmtk8pj7tdxjvwsng6y9x76czuaf5hwallet: Binance-coldwalletBalance:10,650 BTC ($636,307,928) Ins:3 Outs:1","10,650 BTC ($636,307,928)"
73,"3FupZp77ySr7jwoLYEJ9mwzJpvoNBXsBnEwallet: OKEx 7d:+4.11 BTC / 30d:-2825 BTCBalance:10,634 BTC ($635,327,910) Ins:1070 Outs:1019","10,634 BTC ($635,327,910)"
74,"bc1qxlth5har0qasqvattsjvgp80st2x402u5shuudBalance:10,500 BTC ($627,346,154) Ins:3 Outs:0","10,500 BTC ($627,346,154)"
75,"3Jyi6RfokawNhkjWHtTnsFRd3o6mAjiK1yBalance:10,475 BTC ($625,823,338) Ins:2 Outs:0","10,475 BTC ($625,823,338)"
76,"1Q8QR5k32hexiMQnRgkJ6fmmjn5fMWhdv9wallet: Binance-PoolBalance:10,217 BTC ($610,420,663) Ins:1599 Outs:0","10,217 BTC ($610,420,663)"
77,"3G98jSULfhrES1J9HKfZdDjXx1sTNvHkhN 7d:+2162 BTC / 30d:+3484 BTCBalance:10,043 BTC ($600,038,390) Ins:89 Outs:45","10,043 BTC ($600,038,390)"
78,"1f1miYFQWTzdLiCBxtHHnNiW7WAWPUccrBalance:10,009 BTC ($598,025,668) Ins:82 Outs:0","10,009 BTC ($598,025,668)"
79,"bc1qsxdxm0exqdsmnl9ejrz250xqxrxpxkgf5nhhtqBalance:10,002 BTC ($597,576,219) Ins:9 Outs:0","10,002 BTC ($597,576,219)"
80,"1BAFWQhH9pNkz3mZDQ1tWrtKkSHVCkc3fVBalance:10,000 BTC ($597,476,897) Ins:50 Outs:0","10,000 BTC ($597,476,897)"
81,"14YK4mzJGo5NKkNnmVJeuEAQftLt795GecBalance:10,000 BTC ($597,474,341) Ins:62 Outs:0","10,000 BTC ($597,474,341)"
82,"1Ki3WTEEqTLPNsN5cGTsMkL2sJ4m5mdCXTBalance:10,000 BTC ($597,473,720) Ins:46 Outs:0","10,000 BTC ($597,473,720)"
83,"1KbrSKrT3GeEruTuuYYUSQ35JwKbrAWJYmBalance:10,000 BTC ($597,473,219) Ins:71 Outs:0","10,000 BTC ($597,473,219)"
84,"1P1iThxBH542Gmk1kZNXyji4E4iwpvSbrtBalance:10,000 BTC ($597,472,978) Ins:56 Outs:0","10,000 BTC ($597,472,978)"
85,"12tLs9c9RsALt4ockxa1hB4iTCTSmxj2meBalance:10,000 BTC ($597,472,891) Ins:55 Outs:0","10,000 BTC ($597,472,891)"
