Rank,Address,Balance
1,"34xp4vRoCGJym3xR7yCVPFHoCNxv4Twseowallet: Binance-coldwalletBalance:248,598 BTC ($14,873,145,427) Ins:2736 Outs:451","248,598 BTC ($14,873,145,427)"
2,"bc1qgdjqv0av3q56jvd82tkdjpy7gdp9ut8tlqmgrpmv24sq90ecnvqqjw..vw97wallet: Bitfinex-coldwalletBalance:180,010 BTC ($10,769,681,467) Ins:234 Outs:167","180,010 BTC ($10,769,681,467)"
3,"3M219KR5vEneNb47ewrPfWyb5jQ2DjxRP6wallet: Binance-coldwallet 30d:+1523 BTCBalance:142,776 BTC ($8,542,014,367) Ins:357 Outs:237","142,776 BTC ($8,542,014,367)"
4,"bc1ql49ydapnjafl5t2cp9zqpjwe6pdgmxy98859v2wallet: Robinhood-coldwalletBalance:140,625 BTC ($8,413,332,019) Ins:376 Outs:207","140,625 BTC ($8,413,332,019)"
5,"bc1qazcm763858nkj2dj986etajv6wquslv8uxwcztwallet: Bitfinex-Hack-RecoveryBalance:94,643 BTC ($5,662,350,677) Ins:108 Outs:0","94,643 BTC ($5,662,350,677)"
6,"1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uFwallet: MtGox-HackBalance:79,957 BTC ($4,783,700,499) Ins:593 Outs:0","79,957 BTC ($4,783,700,499)"
7,"bc1q8yj0herd4r4yxszw3nkfvt53433thk0f5qst4gBalance:78,317 BTC ($4,685,568,367) Ins:14 Outs:0","78,317 BTC ($4,685,568,367)"
8,"bc1qd4ysezhmypwty5dnw7c8nqy5h5nxg0xqsvaefd0qn5kq32vwnwqqgv..4rzr 7d:+3000 BTC / 30d:+6000 BTCBalance:76,000 BTC ($4,546,949,925) Ins:89 Outs:72","76,000 BTC ($4,546,949,925)"
9,"bc1qjasf9z3h7w3jspkhtgatgpyvvzgpa2wwd2lr0eh5tx44reyn2k7sfc..27a4wallet: TetherBalance:75,354 BTC ($4,508,300,291) Ins:87 Outs:60","75,354 BTC ($4,508,300,291)"
10,"1Ay8vMC7R1UbyCCZRVULMV7iQpHSAbguJPwallet: Mr.100 7d:+462.68 BTC / 30d:+7454 BTCBalance:75,079 BTC ($4,491,820,203) Ins:1302 Outs:414","75,079 BTC ($4,491,820,203)"
11,"bc1qa5wkgaew2dkv56kfvj49j0av5nml45x9ek9hz6wallet: SilkRoad-FBI-Confiscated Balance:69,370 BTC ($4,150,293,955) Ins:90 Outs:0","69,370 BTC ($4,150,293,955)"
12,"3LYJfcfHPXYJreMsASk2jkn69LWEYKzexbwallet: Binance-BTCB-ReserveBalance:68,200 BTC ($4,080,284,574) Ins:100 Outs:54","68,200 BTC ($4,080,284,574)"
13,"bc1qcv8h9hp5w8c4qpze0a4tdxw6qjtvg8yps23k0g3aymxx7jlesv4q4t..6f65wallet: Kraken-coldwallet 7d:-399.69 BTC / 30d:-833.32 BTCBalance:59,705 BTC ($3,572,044,373) Ins:89 Outs:32","59,705 BTC ($3,572,044,373)"
14,"1LdRcdxfbSnmCYYNdeYpUnztiYzVfBEQeCBalance:53,880 BTC ($3,223,548,054) Ins:184 Outs:0","53,880 BTC ($3,223,548,054)"
15,"1AC4fMwgY8j9onSbXEWeH6Zan8QGMSdmtABalance:51,830 BTC ($3,100,920,311) Ins:130 Outs:0","51,830 BTC ($3,100,920,311)"
16,"bc1q4j7fcl8zx5yl56j00nkqez9zf3f6ggqchwzzcs5hjxwqhsgxvavq3q..fgprwallet: Coincheck 7d:+62.85 BTC / 30d:+253.44 BTCBalance:46,084 BTC ($2,757,118,301) Ins:931 Outs:887","46,084 BTC ($2,757,118,301)"
17,"3PXBET2GrTwCamkeDzKCx8DeGDyrbuGKoc 30d:+45177 BTCBalance:45,177 BTC ($2,702,882,463) Ins:3 Outs:0","45,177 BTC ($2,702,882,463)"
18,"1LruNZjwamWJXThX2Y8C2d47QqhAkkc5osBalance:44,000 BTC ($2,632,446,629) Ins:60 Outs:0","44,000 BTC ($2,632,446,629)"
19,"3MgEAFWu1HKSnZ5ZsC8qf61ZW18xrP5pgdwallet: OKExBalance:41,663 BTC ($2,492,616,944) Ins:450 Outs:215","41,663 BTC ($2,492,616,944)"
21,"3LQUu4v9z6KNch71j7kbj8GPeAGUo1FW6awallet: Binance-coldwalletBalance:37,927 BTC ($2,269,109,355) Ins:36 Outs:0","37,927 BTC ($2,269,109,355)"
22,"bc1q7ydrtdn8z62xhslqyqtyt38mm4e2c4h3mxjkugwallet: UK-Gov-ConfiscatedBalance:36,000 BTC ($2,153,841,029) Ins:45 Outs:0","36,000 BTC ($2,153,841,029)"
23,"bc1qk4m9zv5tnxf2pddd565wugsjrkqkfn90aa0wypj2530f4f7tjwrqnt..penswallet: BITMEX-coldwalletBalance:35,277 BTC ($2,110,575,644) Ins:77 Outs:3","35,277 BTC ($2,110,575,644)"
24,"12Gws9EsEiDZLinu2SWkHdk7TcobjTau9uwallet: MtGox-coldwalletBalance:32,371 BTC ($1,936,718,347) Ins:6 Outs:0","32,371 BTC ($1,936,718,347)"
25,"12XqeqZRVkBDgmPLVY4ZC6Y4ruUUEug8FxBalance:32,321 BTC ($1,933,707,834) Ins:47 Outs:10","32,321 BTC ($1,933,707,834)"
26,"bc1qx9t2l3pyny2spqpqlye8svce70nppwtaxwdrp4wallet: Binance-PoolBalance:31,643 BTC ($1,893,168,143) Ins:4748 Outs:1","31,643 BTC ($1,893,168,143)"
27,"3FHNBLobJnbCTFTVakh5TXmEneyf5PT61Bwallet: Binance-coldwalletBalance:31,275 BTC ($1,871,148,487) Ins:38 Outs:0","31,275 BTC ($1,871,148,487)"
28,"12ib7dApVFvg82TXKycWBNpN8kFyiAN1drwallet: 967Balance:31,000 BTC ($1,854,679,091) Ins:174 Outs:4","31,000 BTC ($1,854,679,091)"
29,"12tkqA9xSoowkzoERHMWNKsTey55YEBqkvBalance:28,151 BTC ($1,684,227,613) Ins:158 Outs:0","28,151 BTC ($1,684,227,613)"
30,"39eYrpgAgDhp4tTjrSb1ppZ5kdAc1ikBYwBalance:26,139 BTC ($1,563,872,696) Ins:7 Outs:1","26,139 BTC ($1,563,872,696)"
31,"bc1qr4dl5wa7kl8yu792dceg9z5knl2gkn220lk7a9wallet: Crypto.com-coldwallet 7d:+0.8558 BTC / 30d:+409.17 BTCBalance:25,848 BTC ($1,546,410,067) Ins:28820 Outs:26978","25,848 BTC ($1,546,410,067)"
32,"1Pzaqw98PeRfyHypfqyEgg5yycJRsENrE7wallet: Binance-coldwallet 7d:-4926 BTC / 30d:+19328 BTCBalance:24,789 BTC ($1,483,074,433) Ins:84 Outs:60","24,789 BTC ($1,483,074,433)"
33,"17MWdxfjPYP2PYhdy885QtihfbW181r1rnBalance:24,495 BTC ($1,465,513,086) Ins:24 Outs:0","24,495 BTC ($1,465,513,086)"
34,"38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67 2-of-6wallet: OKExBalance:24,067 BTC ($1,439,883,976) Ins:313 Outs:224","24,067 BTC ($1,439,883,976)"
35,"19D5J8c59P2bAkWKvxSYw8scD3KUNWoZ1CBalance:23,969 BTC ($1,434,022,583) Ins:28 Outs:0","23,969 BTC ($1,434,022,583)"
36,"15cHRgVrGKz7qp2JL2N5mkB2MCFGLcnHxvBalance:23,375 BTC ($1,398,484,905) Ins:44 Outs:2","23,375 BTC ($1,398,484,905)"
37,"bc1qhxf9ckyz7sw8h6vkvdlffntmsu6fz8m3pdzgvwwallet: Revolut-coldwalletBalance:23,323 BTC ($1,395,358,072) Ins:16 Outs:0","23,323 BTC ($1,395,358,072)"
38,"bc1qe2n7t4h47l33cazdlfa0hzs5tfke35dzj6tzuy 7d:+18159 BTC / 30d:+23085 BTCBalance:23,085 BTC ($1,381,111,803) Ins:27 Outs:0","23,085 BTC ($1,381,111,803)"
39,"3JZq4atUahhuA9rLhXLMhhTo133J9rF97jwallet: Bitfinex-coldwallet 7d:+338.35 BTC / 30d:-548.31 BTCBalance:22,694 BTC ($1,357,768,440) Ins:5145 Outs:5118","22,694 BTC ($1,357,768,440)"
40,"3HfD4pvF43jdu9dzVMEr1b8AnDHooRGc5t 3-of-9wallet: 107121673Balance:20,271 BTC ($1,212,807,326) Ins:13 Outs:2","20,271 BTC ($1,212,807,326)"
41,"bc1qcpflj68s3ahy4xajez4d8v3vk28pvf7qte2jmlftvxzfke2u6mqsge..3gvh 7d:+514 BTC / 30d:+1060 BTCBalance:20,155 BTC ($1,205,837,595) Ins:135 Outs:125","20,155 BTC ($1,205,837,595)"
42,"17rm2dvb439dZqyMe2d4D6AQJSgg6yeNRnBalance:20,008 BTC ($1,197,043,050) Ins:79 Outs:1","20,008 BTC ($1,197,043,050)"
43,"bc1qngydl7hmgdtmuqjmtsyj3pcwszv0yn5mj6kz4cwallet: SilkRoad-DOJ-ConfiscatedBalance:19,800 BTC ($1,184,598,179) Ins:17 Outs:0","19,800 BTC ($1,184,598,179)"
44,"1PeizMg76Cf96nUQrYg8xuoZWLQozU5zGWBalance:19,414 BTC ($1,161,530,772) Ins:115 Outs:0","19,414 BTC ($1,161,530,772)"
45,"3EMVdMehEq5SFipQ5UfbsfMsH223sSz9A9 4-of-8Balance:19,209 BTC ($1,149,229,728) Ins:69 Outs:45","19,209 BTC ($1,149,229,728)"
46,"bc1qchctnvmdva5z9vrpxkkxck64v7nmzdtyxsrq64wallet: BitMEX 7d:+16.07 BTC / 30d:-131.85 BTCBalance:18,800 BTC ($1,124,773,750) Ins:516 Outs:511","18,800 BTC ($1,124,773,750)"
47,"bc1qjh0akslml59uuczddqu0y4p3vj64hg5mc94c40wallet: Kraken-coldwallet 7d:+500 BTC / 30d:+500 BTCBalance:18,559 BTC ($1,110,324,048) Ins:1220 Outs:162","18,559 BTC ($1,110,324,048)"
48,"bc1qcdqj2smprre85c78d942wx5tauw5n7uw92r7wrwallet: Crypto.com-coldwallet 7d:+186.29 BTC / 30d:+36.66 BTCBalance:18,551 BTC ($1,109,866,964) Ins:34505 Outs:29728","18,551 BTC ($1,109,866,964)"
49,"bc1qy0wxk2v2lv8wqxpjtupzx7lykla4c3y5wf5u7gBalance:18,400 BTC ($1,100,841,944) Ins:4 Outs:0","18,400 BTC ($1,100,841,944)"
50,"bc1qx2x5cqhymfcnjtg902ky6u5t5htmt7fvqztdsm028hkrvxcl4t2sjt..pd9lwallet: Bitbank-coldwallet 7d:-39.14 BTC / 30d:+311.56 BTCBalance:17,996 BTC ($1,076,677,904) Ins:3485 Outs:3462","17,996 BTC ($1,076,677,904)"
51,"143gLvWYUojXaWZRrxquRKpVNTkhmr415Bwallet: Huobi-coldwallet 7d:+6662 BTC / 30d:+6745 BTCBalance:17,276 BTC ($1,033,568,754) Ins:320 Outs:139","17,276 BTC ($1,033,568,754)"
52,"bc1qxezna9h8dut8y4s30pjaw0ftk6nqen4rwe7wmm 7d:+878.94 BTC / 30d:+16569 BTCBalance:16,569 BTC ($991,279,735) Ins:10 Outs:0","16,569 BTC ($991,279,735)"
53,"34HpHYiyQwg69gFmCq2BGHjF1DZnZnBeBPwallet: Binance-coldwalletBalance:16,307 BTC ($975,596,514) Ins:15 Outs:0","16,307 BTC ($975,596,514)"
54,"bc1q968e7dl5cq938tz87uwqyyd4and4mjhgyelfyqwallet: OKEx 30d:+2600 BTCBalance:16,164 BTC ($967,059,455) Ins:5 Outs:0","16,164 BTC ($967,059,455)"
