Rank,Address,Balance
1,"34xp4vRoCGJym3xR7yCVPFHoCNxv4Twseowallet: Binance-coldwalletBalance:248,598 BTC ($14,958,896,599) Ins:2736 Outs:451","248,598 BTC ($14,958,896,599)"
2,"bc1qgdjqv0av3q56jvd82tkdjpy7gdp9ut8tlqmgrpmv24sq90ecnvqqjw..vw97wallet: Bitfinex-coldwalletBalance:180,010 BTC ($10,831,774,103) Ins:234 Outs:167","180,010 BTC ($10,831,774,103)"
3,"3M219KR5vEneNb47ewrPfWyb5jQ2DjxRP6wallet: Binance-coldwallet 30d:+1523 BTCBalance:142,776 BTC ($8,591,263,381) Ins:357 Outs:237","142,776 BTC ($8,591,263,381)"
4,"bc1ql49ydapnjafl5t2cp9zqpjwe6pdgmxy98859v2wallet: Robinhood-coldwalletBalance:140,625 BTC ($8,461,839,114) Ins:376 Outs:207","140,625 BTC ($8,461,839,114)"
5,"bc1qazcm763858nkj2dj986etajv6wquslv8uxwcztwallet: Bitfinex-Hack-RecoveryBalance:94,643 BTC ($5,694,996,980) Ins:108 Outs:0","94,643 BTC ($5,694,996,980)"
6,"1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uFwallet: MtGox-HackBalance:79,957 BTC ($4,811,280,941) Ins:593 Outs:0","79,957 BTC ($4,811,280,941)"
7,"bc1q8yj0herd4r4yxszw3nkfvt53433thk0f5qst4gBalance:78,317 BTC ($4,712,583,028) Ins:14 Outs:0","78,317 BTC ($4,712,583,028)"
8,"bc1qd4ysezhmypwty5dnw7c8nqy5h5nxg0xqsvaefd0qn5kq32vwnwqqgv..4rzr 7d:+3000 BTC / 30d:+6000 BTCBalance:76,000 BTC ($4,573,165,381) Ins:89 Outs:72","76,000 BTC ($4,573,165,381)"
9,"bc1qjasf9z3h7w3jspkhtgatgpyvvzgpa2wwd2lr0eh5tx44reyn2k7sfc..27a4wallet: TetherBalance:75,354 BTC ($4,534,292,912) Ins:87 Outs:60","75,354 BTC ($4,534,292,912)"
10,"1Ay8vMC7R1UbyCCZRVULMV7iQpHSAbguJPwallet: Mr.100 7d:+373.95 BTC / 30d:+6948 BTCBalance:75,079 BTC ($4,517,717,808) Ins:1302 Outs:414","75,079 BTC ($4,517,717,808)"
