Rank,Address,Balance
31,"bc1qr4dl5wa7kl8yu792dceg9z5knl2gkn220lk7a9wallet: Crypto.com-coldwallet 7d:-443.86 BTC / 30d:-211.36 BTCBalance:25,536 BTC ($1,536,132,022) Ins:28847 Outs:27080","25,536 BTC ($1,536,132,022)"
32,"1Pzaqw98PeRfyHypfqyEgg5yycJRsENrE7wallet: Binance-coldwallet 7d:-4926 BTC / 30d:+19328 BTCBalance:24,789 BTC ($1,491,200,920) Ins:84 Outs:60","24,789 BTC ($1,491,200,920)"
33,"17MWdxfjPYP2PYhdy885QtihfbW181r1rnBalance:24,495 BTC ($1,473,543,346) Ins:24 Outs:0","24,495 BTC ($1,473,543,346)"
34,"38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67 2-of-6wallet: OKExBalance:24,067 BTC ($1,447,773,802) Ins:313 Outs:224","24,067 BTC ($1,447,773,802)"
35,"19D5J8c59P2bAkWKvxSYw8scD3KUNWoZ1CBalance:23,969 BTC ($1,441,880,291) Ins:28 Outs:0","23,969 BTC ($1,441,880,291)"
36,"15cHRgVrGKz7qp2JL2N5mkB2MCFGLcnHxvBalance:23,375 BTC ($1,406,147,885) Ins:44 Outs:2","23,375 BTC ($1,406,147,885)"
37,"bc1qhxf9ckyz7sw8h6vkvdlffntmsu6fz8m3pdzgvwwallet: Revolut-coldwalletBalance:23,323 BTC ($1,403,003,918) Ins:16 Outs:0","23,323 BTC ($1,403,003,918)"
38,"bc1qe2n7t4h47l33cazdlfa0hzs5tfke35dzj6tzuy 7d:+18159 BTC / 30d:+23085 BTCBalance:23,085 BTC ($1,388,679,588) Ins:27 Outs:0","23,085 BTC ($1,388,679,588)"
39,"3JZq4atUahhuA9rLhXLMhhTo133J9rF97jwallet: Bitfinex-coldwallet 7d:+126.82 BTC / 30d:-548.31 BTCBalance:22,694 BTC ($1,365,208,315) Ins:5145 Outs:5118","22,694 BTC ($1,365,208,315)"
40,"3HfD4pvF43jdu9dzVMEr1b8AnDHooRGc5t 3-of-9wallet: 107121673Balance:20,271 BTC ($1,219,452,888) Ins:13 Outs:2","20,271 BTC ($1,219,452,888)"
41,"bc1qcpflj68s3ahy4xajez4d8v3vk28pvf7qte2jmlftvxzfke2u6mqsge..3gvh 7d:+514 BTC / 30d:+1060 BTCBalance:20,155 BTC ($1,212,444,967) Ins:135 Outs:125","20,155 BTC ($1,212,444,967)"
42,"17rm2dvb439dZqyMe2d4D6AQJSgg6yeNRnBalance:20,008 BTC ($1,203,602,232) Ins:79 Outs:1","20,008 BTC ($1,203,602,232)"
43,"bc1qngydl7hmgdtmuqjmtsyj3pcwszv0yn5mj6kz4cwallet: SilkRoad-DOJ-ConfiscatedBalance:19,800 BTC ($1,191,089,169) Ins:17 Outs:0","19,800 BTC ($1,191,089,169)"
44,"1PeizMg76Cf96nUQrYg8xuoZWLQozU5zGWBalance:19,414 BTC ($1,167,895,365) Ins:115 Outs:0","19,414 BTC ($1,167,895,365)"
45,"3EMVdMehEq5SFipQ5UfbsfMsH223sSz9A9 4-of-8Balance:19,209 BTC ($1,155,526,918) Ins:69 Outs:45","19,209 BTC ($1,155,526,918)"
46,"bc1qchctnvmdva5z9vrpxkkxck64v7nmzdtyxsrq64wallet: BitMEX 7d:+16.07 BTC / 30d:-131.85 BTCBalance:18,800 BTC ($1,130,936,934) Ins:516 Outs:511","18,800 BTC ($1,130,936,934)"
47,"bc1qcdqj2smprre85c78d942wx5tauw5n7uw92r7wrwallet: Crypto.com-coldwallet 7d:+185.52 BTC / 30d:+8.28 BTCBalance:18,562 BTC ($1,116,629,096) Ins:34540 Outs:29728","18,562 BTC ($1,116,629,096)"
48,"bc1qjh0akslml59uuczddqu0y4p3vj64hg5mc94c40wallet: Kraken-coldwallet 7d:+500 BTC / 30d:+500 BTCBalance:18,559 BTC ($1,116,408,054) Ins:1220 Outs:162","18,559 BTC ($1,116,408,054)"
49,"bc1qy0wxk2v2lv8wqxpjtupzx7lykla4c3y5wf5u7gBalance:18,400 BTC ($1,106,873,993) Ins:4 Outs:0","18,400 BTC ($1,106,873,993)"
50,"bc1qx2x5cqhymfcnjtg902ky6u5t5htmt7fvqztdsm028hkrvxcl4t2sjt..pd9lwallet: Bitbank-coldwallet 7d:-32.83 BTC / 30d:+306.57 BTCBalance:18,005 BTC ($1,083,134,226) Ins:3488 Outs:3465","18,005 BTC ($1,083,134,226)"
51,"143gLvWYUojXaWZRrxquRKpVNTkhmr415Bwallet: Huobi-coldwallet 7d:-500 BTC / 30d:+6525 BTCBalance:17,276 BTC ($1,039,232,181) Ins:320 Outs:139","17,276 BTC ($1,039,232,181)"
52,"bc1qxezna9h8dut8y4s30pjaw0ftk6nqen4rwe7wmm 7d:+784.57 BTC / 30d:+16569 BTCBalance:16,569 BTC ($996,711,440) Ins:10 Outs:0","16,569 BTC ($996,711,440)"
53,"34HpHYiyQwg69gFmCq2BGHjF1DZnZnBeBPwallet: Binance-coldwalletBalance:16,307 BTC ($980,942,283) Ins:15 Outs:0","16,307 BTC ($980,942,283)"
54,"bc1q968e7dl5cq938tz87uwqyyd4and4mjhgyelfyqwallet: OKEx 30d:+2600 BTCBalance:16,164 BTC ($972,358,445) Ins:5 Outs:0","16,164 BTC ($972,358,445)"
55,"1GR9qNz7zgtaW5HwwVpEJWMnGWhsbsieCGBalance:15,746 BTC ($947,190,557) Ins:76 Outs:1","15,746 BTC ($947,190,557)"
56,"1CNtkWbb4grh8xtb8mhoZ6armNE9PHgzA8 7d:+8.79 BTC / 30d:+8.79 BTCBalance:14,441 BTC ($868,693,038) Ins:104 Outs:6","14,441 BTC ($868,693,038)"
57,"39gUvGynQ7Re3i15G3J2gp9DEB9LnLFPMN 7d:-850.01 BTC / 30d:-340 BTCBalance:14,162 BTC ($851,942,363) Ins:304 Outs:270","14,162 BTC ($851,942,363)"
58,"bc1q6qphr80zug3v37xf503a7atzfn3au2fz0dy9ek 7d:+14001 BTC / 30d:+14001 BTCBalance:14,001 BTC ($842,225,138) Ins:788 Outs:781","14,001 BTC ($842,225,138)"
59,"1BZaYtmXka1y3Byi2yvXCDG92Tjz7ecwYjBalance:14,000 BTC ($842,184,666) Ins:61 Outs:0","14,000 BTC ($842,184,666)"
60,"bc1qk7fy6qumtdkjy765ujxqxe0my55ake0zefa2dmt6sjx2sr098d8qf2..6ufn 7d:+30 BTC / 30d:-514.79 BTCBalance:13,712 BTC ($824,879,536) Ins:144 Outs:37","13,712 BTC ($824,879,536)"
61,"bc1q4vxn43l44h30nkluqfxd9eckf45vr2awz38lwawallet: UK-Gov-ConfiscatedBalance:13,003 BTC ($782,210,368) Ins:19 Outs:0","13,003 BTC ($782,210,368)"
62,"1932eKraQ3Ad9MeNBHb14WFQbNrLaKeEpTwallet: Deribit-coldwalletBalance:12,900 BTC ($775,999,693) Ins:42 Outs:3","12,900 BTC ($775,999,693)"
63,"1CiAnTJn6eHTU89PeihdMhT7KcQZxVZ4fyBalance:12,858 BTC ($773,484,693) Ins:19 Outs:0","12,858 BTC ($773,484,693)"
64,"bc1qkmk4v2xn29yge68fq6zh7gvfdqrvpq3v3p3y0swallet: Bitfinex-Hack-RecoveryBalance:12,267 BTC ($737,935,573) Ins:3 Outs:0","12,267 BTC ($737,935,573)"
65,"1PJiGp2yDLvUgqeBsuZVCBADArNsk6XEiwwallet: Binance-coldwallet 7d:-74 BTC / 30d:-828 BTCBalance:12,172 BTC ($732,219,781) Ins:50 Outs:21","12,172 BTC ($732,219,781)"
66,"bc1qtrxc0use4hlm7fl0j6t37z7qlwl5eppj8lywz6wallet: Kraken-coldwallet 7d:+12.26 BTC / 30d:+12.26 BTCBalance:12,165 BTC ($731,818,138) Ins:969 Outs:148","12,165 BTC ($731,818,138)"
67,"1PuQBjpPfAuANa3KM4HBdfF98BC7wnWhTb 30d:+12000 BTCBalance:12,000 BTC ($721,881,433) Ins:1 Outs:0","12,000 BTC ($721,881,433)"
68,"bc1q5vwscmf85w2vlq0qvr33dgpvu5rlrd42cqw6qn 7d:-74.52 BTC / 30d:-1604 BTCBalance:11,126 BTC ($669,276,647) Ins:297 Outs:296","11,126 BTC ($669,276,647)"
69,"39EJqV1utdhgGWc4L89MwFhYppuGDmsuAf 30d:+10915 BTCBalance:10,915 BTC ($656,597,746) Ins:1 Outs:0","10,915 BTC ($656,597,746)"
70,"3FM9vDYsN2iuMPKWjAcqgyahdwdrUxhbJ3wallet: OKEx 7d:+84.85 BTC / 30d:-56.56 BTCBalance:10,860 BTC ($653,314,685) Ins:140 Outs:61","10,860 BTC ($653,314,685)"
71,"1F34duy2eeMz5mSrvFepVzy7Y1rBsnAyWCBalance:10,771 BTC ($647,912,828) Ins:104 Outs:0","10,771 BTC ($647,912,828)"
72,"bc1q7t9fxfaakmtk8pj7tdxjvwsng6y9x76czuaf5hwallet: Binance-coldwalletBalance:10,650 BTC ($640,661,873) Ins:3 Outs:1","10,650 BTC ($640,661,873)"
