Rank,Address,Balance
1,"34xp4vRoCGJym3xR7yCVPFHoCNxv4Twseowallet: Binance-coldwalletBalance:248,598 BTC ($14,955,340,201) Ins:2736 Outs:451","248,598 BTC ($14,955,340,201)"
2,"bc1qgdjqv0av3q56jvd82tkdjpy7gdp9ut8tlqmgrpmv24sq90ecnvqqjw..vw97wallet: Bitfinex-coldwalletBalance:180,010 BTC ($10,829,198,906) Ins:234 Outs:167","180,010 BTC ($10,829,198,906)"
3,"3M219KR5vEneNb47ewrPfWyb5jQ2DjxRP6wallet: Binance-coldwallet 30d:+1523 BTCBalance:142,776 BTC ($8,589,220,854) Ins:357 Outs:237","142,776 BTC ($8,589,220,854)"
4,"bc1ql49ydapnjafl5t2cp9zqpjwe6pdgmxy98859v2wallet: Robinhood-coldwalletBalance:140,625 BTC ($8,459,827,357) Ins:376 Outs:207","140,625 BTC ($8,459,827,357)"
5,"bc1qazcm763858nkj2dj986etajv6wquslv8uxwcztwallet: Bitfinex-Hack-RecoveryBalance:94,643 BTC ($5,693,643,024) Ins:108 Outs:0","94,643 BTC ($5,693,643,024)"
6,"1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uFwallet: MtGox-HackBalance:79,957 BTC ($4,810,137,085) Ins:593 Outs:0","79,957 BTC ($4,810,137,085)"
7,"bc1q8yj0herd4r4yxszw3nkfvt53433thk0f5qst4gBalance:78,317 BTC ($4,711,462,636) Ins:14 Outs:0","78,317 BTC ($4,711,462,636)"
8,"bc1qd4ysezhmypwty5dnw7c8nqy5h5nxg0xqsvaefd0qn5kq32vwnwqqgv..4rzr 7d:+3000 BTC / 30d:+6000 BTCBalance:76,000 BTC ($4,572,078,135) Ins:89 Outs:72","76,000 BTC ($4,572,078,135)"
9,"bc1qjasf9z3h7w3jspkhtgatgpyvvzgpa2wwd2lr0eh5tx44reyn2k7sfc..27a4wallet: TetherBalance:75,354 BTC ($4,533,214,908) Ins:87 Outs:60","75,354 BTC ($4,533,214,908)"
10,"1Ay8vMC7R1UbyCCZRVULMV7iQpHSAbguJPwallet: Mr.100 7d:+373.95 BTC / 30d:+6948 BTCBalance:75,079 BTC ($4,516,643,744) Ins:1302 Outs:414","75,079 BTC ($4,516,643,744)"
11,"bc1qa5wkgaew2dkv56kfvj49j0av5nml45x9ek9hz6wallet: SilkRoad-FBI-Confiscated Balance:69,370 BTC ($4,173,230,090) Ins:90 Outs:0","69,370 BTC ($4,173,230,090)"
12,"3LYJfcfHPXYJreMsASk2jkn69LWEYKzexbwallet: Binance-BTCB-ReserveBalance:68,200 BTC ($4,102,833,810) Ins:100 Outs:54","68,200 BTC ($4,102,833,810)"
13,"bc1qcv8h9hp5w8c4qpze0a4tdxw6qjtvg8yps23k0g3aymxx7jlesv4q4t..6f65wallet: Kraken-coldwallet 7d:-399.69 BTC / 30d:-767.71 BTCBalance:59,705 BTC ($3,591,784,876) Ins:89 Outs:32","59,705 BTC ($3,591,784,876)"
14,"1LdRcdxfbSnmCYYNdeYpUnztiYzVfBEQeCBalance:53,880 BTC ($3,241,362,632) Ins:184 Outs:0","53,880 BTC ($3,241,362,632)"
15,"1AC4fMwgY8j9onSbXEWeH6Zan8QGMSdmtABalance:51,830 BTC ($3,118,057,200) Ins:130 Outs:0","51,830 BTC ($3,118,057,200)"
16,"bc1q4j7fcl8zx5yl56j00nkqez9zf3f6ggqchwzzcs5hjxwqhsgxvavq3q..fgprwallet: Coincheck 7d:+47.43 BTC / 30d:+162.01 BTCBalance:46,084 BTC ($2,772,355,207) Ins:931 Outs:887","46,084 BTC ($2,772,355,207)"
