Rank,Address,Balance
1,"34xp4vRoCGJym3xR7yCVPFHoCNxv4Twseowallet: Binance-coldwalletBalance:248,598 BTC ($14,909,203,589) Ins:2736 Outs:451","248,598 BTC ($14,909,203,589)"
2,"bc1qgdjqv0av3q56jvd82tkdjpy7gdp9ut8tlqmgrpmv24sq90ecnvqqjw..vw97wallet: Bitfinex-coldwalletBalance:180,010 BTC ($10,795,791,271) Ins:234 Outs:167","180,010 BTC ($10,795,791,271)"
3,"3M219KR5vEneNb47ewrPfWyb5jQ2DjxRP6wallet: Binance-coldwallet 30d:+1523 BTCBalance:142,776 BTC ($8,562,723,460) Ins:357 Outs:237","142,776 BTC ($8,562,723,460)"
4,"bc1ql49ydapnjafl5t2cp9zqpjwe6pdgmxy98859v2wallet: Robinhood-coldwalletBalance:140,625 BTC ($8,433,729,136) Ins:376 Outs:207","140,625 BTC ($8,433,729,136)"
5,"bc1qazcm763858nkj2dj986etajv6wquslv8uxwcztwallet: Bitfinex-Hack-RecoveryBalance:94,643 BTC ($5,676,078,369) Ins:108 Outs:0","94,643 BTC ($5,676,078,369)"
6,"1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uFwallet: MtGox-HackBalance:79,957 BTC ($4,795,298,009) Ins:593 Outs:0","79,957 BTC ($4,795,298,009)"
7,"bc1q8yj0herd4r4yxszw3nkfvt53433thk0f5qst4gBalance:78,317 BTC ($4,696,927,967) Ins:14 Outs:0","78,317 BTC ($4,696,927,967)"
8,"bc1qd4ysezhmypwty5dnw7c8nqy5h5nxg0xqsvaefd0qn5kq32vwnwqqgv..4rzr 7d:+3000 BTC / 30d:+6000 BTCBalance:76,000 BTC ($4,557,973,461) Ins:89 Outs:72","76,000 BTC ($4,557,973,461)"
9,"bc1qjasf9z3h7w3jspkhtgatgpyvvzgpa2wwd2lr0eh5tx44reyn2k7sfc..27a4wallet: TetherBalance:75,354 BTC ($4,519,230,126) Ins:87 Outs:60","75,354 BTC ($4,519,230,126)"
10,"1Ay8vMC7R1UbyCCZRVULMV7iQpHSAbguJPwallet: Mr.100 7d:+462.68 BTC / 30d:+7454 BTCBalance:75,079 BTC ($4,502,710,084) Ins:1302 Outs:414","75,079 BTC ($4,502,710,084)"
11,"bc1qa5wkgaew2dkv56kfvj49j0av5nml45x9ek9hz6wallet: SilkRoad-FBI-Confiscated Balance:69,370 BTC ($4,160,355,847) Ins:90 Outs:0","69,370 BTC ($4,160,355,847)"
12,"3LYJfcfHPXYJreMsASk2jkn69LWEYKzexbwallet: Binance-BTCB-ReserveBalance:68,200 BTC ($4,090,176,736) Ins:100 Outs:54","68,200 BTC ($4,090,176,736)"
13,"bc1qcv8h9hp5w8c4qpze0a4tdxw6qjtvg8yps23k0g3aymxx7jlesv4q4t..6f65wallet: Kraken-coldwallet 7d:-399.69 BTC / 30d:-833.32 BTCBalance:59,705 BTC ($3,580,704,367) Ins:89 Outs:32","59,705 BTC ($3,580,704,367)"
14,"1LdRcdxfbSnmCYYNdeYpUnztiYzVfBEQeCBalance:53,880 BTC ($3,231,363,161) Ins:184 Outs:0","53,880 BTC ($3,231,363,161)"
15,"1AC4fMwgY8j9onSbXEWeH6Zan8QGMSdmtABalance:51,830 BTC ($3,108,438,121) Ins:130 Outs:0","51,830 BTC ($3,108,438,121)"
16,"bc1q4j7fcl8zx5yl56j00nkqez9zf3f6ggqchwzzcs5hjxwqhsgxvavq3q..fgprwallet: Coincheck 7d:+62.85 BTC / 30d:+253.44 BTCBalance:46,084 BTC ($2,763,802,605) Ins:931 Outs:887","46,084 BTC ($2,763,802,605)"
17,"3PXBET2GrTwCamkeDzKCx8DeGDyrbuGKoc 30d:+45177 BTCBalance:45,177 BTC ($2,709,435,278) Ins:3 Outs:0","45,177 BTC ($2,709,435,278)"
18,"1LruNZjwamWJXThX2Y8C2d47QqhAkkc5osBalance:44,000 BTC ($2,638,828,681) Ins:60 Outs:0","44,000 BTC ($2,638,828,681)"
19,"3MgEAFWu1HKSnZ5ZsC8qf61ZW18xrP5pgdwallet: OKExBalance:41,663 BTC ($2,498,659,995) Ins:450 Outs:215","41,663 BTC ($2,498,659,995)"
21,"3LQUu4v9z6KNch71j7kbj8GPeAGUo1FW6awallet: Binance-coldwalletBalance:37,927 BTC ($2,274,610,539) Ins:36 Outs:0","37,927 BTC ($2,274,610,539)"
22,"bc1q7ydrtdn8z62xhslqyqtyt38mm4e2c4h3mxjkugwallet: UK-Gov-ConfiscatedBalance:36,000 BTC ($2,159,062,759) Ins:45 Outs:0","36,000 BTC ($2,159,062,759)"
23,"bc1qk4m9zv5tnxf2pddd565wugsjrkqkfn90aa0wypj2530f4f7tjwrqnt..penswallet: BITMEX-coldwalletBalance:35,277 BTC ($2,115,692,482) Ins:77 Outs:3","35,277 BTC ($2,115,692,482)"
24,"12Gws9EsEiDZLinu2SWkHdk7TcobjTau9uwallet: MtGox-coldwalletBalance:32,371 BTC ($1,941,413,689) Ins:6 Outs:0","32,371 BTC ($1,941,413,689)"
25,"12XqeqZRVkBDgmPLVY4ZC6Y4ruUUEug8FxBalance:32,321 BTC ($1,938,395,878) Ins:47 Outs:10","32,321 BTC ($1,938,395,878)"
26,"bc1qx9t2l3pyny2spqpqlye8svce70nppwtaxwdrp4wallet: Binance-PoolBalance:31,643 BTC ($1,897,757,903) Ins:4748 Outs:1","31,643 BTC ($1,897,757,903)"
27,"3FHNBLobJnbCTFTVakh5TXmEneyf5PT61Bwallet: Binance-coldwalletBalance:31,275 BTC ($1,875,684,863) Ins:38 Outs:0","31,275 BTC ($1,875,684,863)"
28,"12ib7dApVFvg82TXKycWBNpN8kFyiAN1drwallet: 967Balance:31,000 BTC ($1,859,175,539) Ins:174 Outs:4","31,000 BTC ($1,859,175,539)"
29,"12tkqA9xSoowkzoERHMWNKsTey55YEBqkvBalance:28,151 BTC ($1,688,310,821) Ins:158 Outs:0","28,151 BTC ($1,688,310,821)"
30,"39eYrpgAgDhp4tTjrSb1ppZ5kdAc1ikBYwBalance:26,139 BTC ($1,567,664,119) Ins:7 Outs:1","26,139 BTC ($1,567,664,119)"
31,"bc1qr4dl5wa7kl8yu792dceg9z5knl2gkn220lk7a9wallet: Crypto.com-coldwallet 7d:+6.9 BTC / 30d:+415.21 BTCBalance:25,854 BTC ($1,550,521,776) Ins:28828 Outs:26978","25,854 BTC ($1,550,521,776)"
32,"1Pzaqw98PeRfyHypfqyEgg5yycJRsENrE7wallet: Binance-coldwallet 7d:-4926 BTC / 30d:+19328 BTCBalance:24,789 BTC ($1,486,669,969) Ins:84 Outs:60","24,789 BTC ($1,486,669,969)"
33,"17MWdxfjPYP2PYhdy885QtihfbW181r1rnBalance:24,495 BTC ($1,469,066,047) Ins:24 Outs:0","24,495 BTC ($1,469,066,047)"
34,"38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67 2-of-6wallet: OKExBalance:24,067 BTC ($1,443,374,802) Ins:313 Outs:224","24,067 BTC ($1,443,374,802)"
