Rank,Address,Balance
1,"34xp4vRoCGJym3xR7yCVPFHoCNxv4Twseowallet: Binance-coldwalletBalance:248,598 BTC ($14,975,614,684) Ins:2736 Outs:451","248,598 BTC ($14,975,614,684)"
2,"bc1qgdjqv0av3q56jvd82tkdjpy7gdp9ut8tlqmgrpmv24sq90ecnvqqjw..vw97wallet: Bitfinex-coldwalletBalance:180,010 BTC ($10,843,879,709) Ins:234 Outs:167","180,010 BTC ($10,843,879,709)"
3,"3M219KR5vEneNb47ewrPfWyb5jQ2DjxRP6wallet: Binance-coldwallet 30d:+1523 BTCBalance:142,776 BTC ($8,600,864,990) Ins:357 Outs:237","142,776 BTC ($8,600,864,990)"
4,"bc1ql49ydapnjafl5t2cp9zqpjwe6pdgmxy98859v2wallet: Robinhood-coldwalletBalance:140,625 BTC ($8,471,296,078) Ins:376 Outs:207","140,625 BTC ($8,471,296,078)"
5,"bc1qazcm763858nkj2dj986etajv6wquslv8uxwcztwallet: Bitfinex-Hack-RecoveryBalance:94,643 BTC ($5,701,361,716) Ins:108 Outs:0","94,643 BTC ($5,701,361,716)"
6,"1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uFwallet: MtGox-HackBalance:79,957 BTC ($4,816,658,036) Ins:593 Outs:0","79,957 BTC ($4,816,658,036)"
7,"bc1q8yj0herd4r4yxszw3nkfvt53433thk0f5qst4gBalance:78,317 BTC ($4,717,849,818) Ins:14 Outs:0","78,317 BTC ($4,717,849,818)"
8,"bc1qd4ysezhmypwty5dnw7c8nqy5h5nxg0xqsvaefd0qn5kq32vwnwqqgv..4rzr 7d:+3000 BTC / 30d:+6000 BTCBalance:76,000 BTC ($4,578,276,357) Ins:89 Outs:72","76,000 BTC ($4,578,276,357)"
9,"bc1qjasf9z3h7w3jspkhtgatgpyvvzgpa2wwd2lr0eh5tx44reyn2k7sfc..27a4wallet: TetherBalance:75,354 BTC ($4,539,360,444) Ins:87 Outs:60","75,354 BTC ($4,539,360,444)"
10,"1Ay8vMC7R1UbyCCZRVULMV7iQpHSAbguJPwallet: Mr.100 7d:+373.95 BTC / 30d:+6948 BTCBalance:75,079 BTC ($4,522,766,816) Ins:1302 Outs:414","75,079 BTC ($4,522,766,816)"
11,"bc1qa5wkgaew2dkv56kfvj49j0av5nml45x9ek9hz6wallet: SilkRoad-FBI-Confiscated Balance:69,370 BTC ($4,178,887,607) Ins:90 Outs:0","69,370 BTC ($4,178,887,607)"
12,"3LYJfcfHPXYJreMsASk2jkn69LWEYKzexbwallet: Binance-BTCB-ReserveBalance:68,200 BTC ($4,108,395,892) Ins:100 Outs:54","68,200 BTC ($4,108,395,892)"
13,"bc1qcv8h9hp5w8c4qpze0a4tdxw6qjtvg8yps23k0g3aymxx7jlesv4q4t..6f65wallet: Kraken-coldwallet 7d:-399.69 BTC / 30d:-767.71 BTCBalance:59,705 BTC ($3,596,654,146) Ins:89 Outs:32","59,705 BTC ($3,596,654,146)"
14,"1LdRcdxfbSnmCYYNdeYpUnztiYzVfBEQeCBalance:53,880 BTC ($3,245,756,845) Ins:184 Outs:0","53,880 BTC ($3,245,756,845)"
15,"1AC4fMwgY8j9onSbXEWeH6Zan8QGMSdmtABalance:51,830 BTC ($3,122,284,252) Ins:130 Outs:0","51,830 BTC ($3,122,284,252)"
16,"bc1q4j7fcl8zx5yl56j00nkqez9zf3f6ggqchwzzcs5hjxwqhsgxvavq3q..fgprwallet: Coincheck 7d:+47.43 BTC / 30d:+162.01 BTCBalance:46,084 BTC ($2,776,113,601) Ins:931 Outs:887","46,084 BTC ($2,776,113,601)"
17,"3PXBET2GrTwCamkeDzKCx8DeGDyrbuGKoc 30d:+45177 BTCBalance:45,177 BTC ($2,721,504,102) Ins:3 Outs:0","45,177 BTC ($2,721,504,102)"
18,"1LruNZjwamWJXThX2Y8C2d47QqhAkkc5osBalance:44,000 BTC ($2,650,582,998) Ins:60 Outs:0","44,000 BTC ($2,650,582,998)"
19,"3MgEAFWu1HKSnZ5ZsC8qf61ZW18xrP5pgdwallet: OKExBalance:41,663 BTC ($2,509,789,949) Ins:450 Outs:215","41,663 BTC ($2,509,789,949)"
21,"3LQUu4v9z6KNch71j7kbj8GPeAGUo1FW6awallet: Binance-coldwalletBalance:37,927 BTC ($2,284,742,494) Ins:36 Outs:0","37,927 BTC ($2,284,742,494)"
22,"bc1q7ydrtdn8z62xhslqyqtyt38mm4e2c4h3mxjkugwallet: UK-Gov-ConfiscatedBalance:36,000 BTC ($2,168,680,021) Ins:45 Outs:0","36,000 BTC ($2,168,680,021)"
23,"bc1qk4m9zv5tnxf2pddd565wugsjrkqkfn90aa0wypj2530f4f7tjwrqnt..penswallet: BITMEX-coldwalletBalance:35,277 BTC ($2,125,116,557) Ins:77 Outs:3","35,277 BTC ($2,125,116,557)"
24,"12Gws9EsEiDZLinu2SWkHdk7TcobjTau9uwallet: MtGox-coldwalletBalance:32,371 BTC ($1,950,061,462) Ins:6 Outs:0","32,371 BTC ($1,950,061,462)"
25,"12XqeqZRVkBDgmPLVY4ZC6Y4ruUUEug8FxBalance:32,321 BTC ($1,947,030,208) Ins:47 Outs:10","32,321 BTC ($1,947,030,208)"
26,"bc1qx9t2l3pyny2spqpqlye8svce70nppwtaxwdrp4wallet: Binance-PoolBalance:31,643 BTC ($1,906,211,217) Ins:4748 Outs:1","31,643 BTC ($1,906,211,217)"
27,"3FHNBLobJnbCTFTVakh5TXmEneyf5PT61Bwallet: Binance-coldwalletBalance:31,275 BTC ($1,884,039,855) Ins:38 Outs:0","31,275 BTC ($1,884,039,855)"
28,"12ib7dApVFvg82TXKycWBNpN8kFyiAN1drwallet: 967Balance:31,000 BTC ($1,867,456,993) Ins:174 Outs:4","31,000 BTC ($1,867,456,993)"
29,"12tkqA9xSoowkzoERHMWNKsTey55YEBqkvBalance:28,151 BTC ($1,695,831,181) Ins:158 Outs:0","28,151 BTC ($1,695,831,181)"
30,"39eYrpgAgDhp4tTjrSb1ppZ5kdAc1ikBYwBalance:26,139 BTC ($1,574,647,073) Ins:7 Outs:1","26,139 BTC ($1,574,647,073)"
31,"bc1qr4dl5wa7kl8yu792dceg9z5knl2gkn220lk7a9wallet: Crypto.com-coldwallet 7d:-58.33 BTC / 30d:+174.17 BTCBalance:25,921 BTC ($1,561,510,683) Ins:28834 Outs:26978","25,921 BTC ($1,561,510,683)"
32,"1Pzaqw98PeRfyHypfqyEgg5yycJRsENrE7wallet: Binance-coldwallet 7d:-4926 BTC / 30d:+19328 BTCBalance:24,789 BTC ($1,493,292,146) Ins:84 Outs:60","24,789 BTC ($1,493,292,146)"
33,"17MWdxfjPYP2PYhdy885QtihfbW181r1rnBalance:24,495 BTC ($1,475,609,810) Ins:24 Outs:0","24,495 BTC ($1,475,609,810)"
34,"38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67 2-of-6wallet: OKExBalance:24,067 BTC ($1,449,804,126) Ins:313 Outs:224","24,067 BTC ($1,449,804,126)"
35,"19D5J8c59P2bAkWKvxSYw8scD3KUNWoZ1CBalance:23,969 BTC ($1,443,902,351) Ins:28 Outs:0","23,969 BTC ($1,443,902,351)"
36,"15cHRgVrGKz7qp2JL2N5mkB2MCFGLcnHxvBalance:23,375 BTC ($1,408,119,834) Ins:44 Outs:2","23,375 BTC ($1,408,119,834)"
37,"bc1qhxf9ckyz7sw8h6vkvdlffntmsu6fz8m3pdzgvwwallet: Revolut-coldwalletBalance:23,323 BTC ($1,404,971,459) Ins:16 Outs:0","23,323 BTC ($1,404,971,459)"
38,"bc1qe2n7t4h47l33cazdlfa0hzs5tfke35dzj6tzuy 7d:+18159 BTC / 30d:+23085 BTCBalance:23,085 BTC ($1,390,627,040) Ins:27 Outs:0","23,085 BTC ($1,390,627,040)"
39,"3JZq4atUahhuA9rLhXLMhhTo133J9rF97jwallet: Bitfinex-coldwallet 7d:+126.82 BTC / 30d:-548.31 BTCBalance:22,694 BTC ($1,367,122,851) Ins:5145 Outs:5118","22,694 BTC ($1,367,122,851)"
40,"3HfD4pvF43jdu9dzVMEr1b8AnDHooRGc5t 3-of-9wallet: 107121673Balance:20,271 BTC ($1,221,163,020) Ins:13 Outs:2","20,271 BTC ($1,221,163,020)"
41,"bc1qcpflj68s3ahy4xajez4d8v3vk28pvf7qte2jmlftvxzfke2u6mqsge..3gvh 7d:+514 BTC / 30d:+1060 BTCBalance:20,155 BTC ($1,214,145,272) Ins:135 Outs:125","20,155 BTC ($1,214,145,272)"
42,"17rm2dvb439dZqyMe2d4D6AQJSgg6yeNRnBalance:20,008 BTC ($1,205,290,136) Ins:79 Outs:1","20,008 BTC ($1,205,290,136)"
43,"bc1qngydl7hmgdtmuqjmtsyj3pcwszv0yn5mj6kz4cwallet: SilkRoad-DOJ-ConfiscatedBalance:19,800 BTC ($1,192,759,526) Ins:17 Outs:0","19,800 BTC ($1,192,759,526)"
44,"1PeizMg76Cf96nUQrYg8xuoZWLQozU5zGWBalance:19,414 BTC ($1,169,533,194) Ins:115 Outs:0","19,414 BTC ($1,169,533,194)"
45,"3EMVdMehEq5SFipQ5UfbsfMsH223sSz9A9 4-of-8Balance:19,209 BTC ($1,157,147,402) Ins:69 Outs:45","19,209 BTC ($1,157,147,402)"
46,"bc1qchctnvmdva5z9vrpxkkxck64v7nmzdtyxsrq64wallet: BitMEX 7d:+16.07 BTC / 30d:-131.85 BTCBalance:18,800 BTC ($1,132,522,934) Ins:516 Outs:511","18,800 BTC ($1,132,522,934)"
47,"bc1qjh0akslml59uuczddqu0y4p3vj64hg5mc94c40wallet: Kraken-coldwallet 7d:+500 BTC / 30d:+500 BTCBalance:18,559 BTC ($1,117,973,679) Ins:1220 Outs:162","18,559 BTC ($1,117,973,679)"
48,"bc1qcdqj2smprre85c78d942wx5tauw5n7uw92r7wrwallet: Crypto.com-coldwallet 7d:+176.99 BTC / 30d:-0.2423 BTCBalance:18,554 BTC ($1,117,681,428) Ins:34521 Outs:29728","18,554 BTC ($1,117,681,428)"
49,"bc1qy0wxk2v2lv8wqxpjtupzx7lykla4c3y5wf5u7gBalance:18,400 BTC ($1,108,426,248) Ins:4 Outs:0","18,400 BTC ($1,108,426,248)"
50,"bc1qx2x5cqhymfcnjtg902ky6u5t5htmt7fvqztdsm028hkrvxcl4t2sjt..pd9lwallet: Bitbank-coldwallet 7d:-42.09 BTC / 30d:+297.32 BTCBalance:17,996 BTC ($1,084,095,729) Ins:3485 Outs:3462","17,996 BTC ($1,084,095,729)"
51,"143gLvWYUojXaWZRrxquRKpVNTkhmr415Bwallet: Huobi-coldwallet 7d:-500 BTC / 30d:+6525 BTCBalance:17,276 BTC ($1,040,689,576) Ins:320 Outs:139","17,276 BTC ($1,040,689,576)"
52,"bc1qxezna9h8dut8y4s30pjaw0ftk6nqen4rwe7wmm 7d:+784.57 BTC / 30d:+16569 BTCBalance:16,569 BTC ($998,109,205) Ins:10 Outs:0","16,569 BTC ($998,109,205)"
53,"34HpHYiyQwg69gFmCq2BGHjF1DZnZnBeBPwallet: Binance-coldwalletBalance:16,307 BTC ($982,317,933) Ins:15 Outs:0","16,307 BTC ($982,317,933)"
