Rank,Address,Balance
1,"34xp4vRoCGJym3xR7yCVPFHoCNxv4Twseowallet: Binance-coldwalletBalance:248,598 BTC ($14,961,379,483) Ins:2736 Outs:451","248,598 BTC ($14,961,379,483)"
2,"bc1qgdjqv0av3q56jvd82tkdjpy7gdp9ut8tlqmgrpmv24sq90ecnvqqjw..vw97wallet: Bitfinex-coldwalletBalance:180,010 BTC ($10,833,571,965) Ins:234 Outs:167","180,010 BTC ($10,833,571,965)"
3,"3M219KR5vEneNb47ewrPfWyb5jQ2DjxRP6wallet: Binance-coldwallet 30d:+1523 BTCBalance:142,776 BTC ($8,592,689,362) Ins:357 Outs:237","142,776 BTC ($8,592,689,362)"
4,"bc1ql49ydapnjafl5t2cp9zqpjwe6pdgmxy98859v2wallet: Robinhood-coldwalletBalance:140,625 BTC ($8,463,243,614) Ins:376 Outs:207","140,625 BTC ($8,463,243,614)"
5,"bc1qazcm763858nkj2dj986etajv6wquslv8uxwcztwallet: Bitfinex-Hack-RecoveryBalance:94,643 BTC ($5,695,942,237) Ins:108 Outs:0","94,643 BTC ($5,695,942,237)"
6,"1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uFwallet: MtGox-HackBalance:79,957 BTC ($4,812,079,519) Ins:593 Outs:0","79,957 BTC ($4,812,079,519)"
7,"bc1q8yj0herd4r4yxszw3nkfvt53433thk0f5qst4gBalance:78,317 BTC ($4,713,365,224) Ins:14 Outs:0","78,317 BTC ($4,713,365,224)"
8,"bc1qd4ysezhmypwty5dnw7c8nqy5h5nxg0xqsvaefd0qn5kq32vwnwqqgv..4rzr 7d:+3000 BTC / 30d:+6000 BTCBalance:76,000 BTC ($4,573,924,437) Ins:89 Outs:72","76,000 BTC ($4,573,924,437)"
9,"bc1qjasf9z3h7w3jspkhtgatgpyvvzgpa2wwd2lr0eh5tx44reyn2k7sfc..27a4wallet: TetherBalance:75,354 BTC ($4,535,045,516) Ins:87 Outs:60","75,354 BTC ($4,535,045,516)"
10,"1Ay8vMC7R1UbyCCZRVULMV7iQpHSAbguJPwallet: Mr.100 7d:+373.95 BTC / 30d:+6948 BTCBalance:75,079 BTC ($4,518,467,660) Ins:1302 Outs:414","75,079 BTC ($4,518,467,660)"
11,"bc1qa5wkgaew2dkv56kfvj49j0av5nml45x9ek9hz6wallet: SilkRoad-FBI-Confiscated Balance:69,370 BTC ($4,174,915,329) Ins:90 Outs:0","69,370 BTC ($4,174,915,329)"
12,"3LYJfcfHPXYJreMsASk2jkn69LWEYKzexbwallet: Binance-BTCB-ReserveBalance:68,200 BTC ($4,104,490,621) Ins:100 Outs:54","68,200 BTC ($4,104,490,621)"
13,"bc1qcv8h9hp5w8c4qpze0a4tdxw6qjtvg8yps23k0g3aymxx7jlesv4q4t..6f65wallet: Kraken-coldwallet 7d:-399.69 BTC / 30d:-767.71 BTCBalance:59,705 BTC ($3,593,235,315) Ins:89 Outs:32","59,705 BTC ($3,593,235,315)"
14,"1LdRcdxfbSnmCYYNdeYpUnztiYzVfBEQeCBalance:53,880 BTC ($3,242,671,562) Ins:184 Outs:0","53,880 BTC ($3,242,671,562)"
15,"1AC4fMwgY8j9onSbXEWeH6Zan8QGMSdmtABalance:51,830 BTC ($3,119,316,337) Ins:130 Outs:0","51,830 BTC ($3,119,316,337)"
16,"bc1q4j7fcl8zx5yl56j00nkqez9zf3f6ggqchwzzcs5hjxwqhsgxvavq3q..fgprwallet: Coincheck 7d:+47.43 BTC / 30d:+162.01 BTCBalance:46,084 BTC ($2,773,474,742) Ins:931 Outs:887","46,084 BTC ($2,773,474,742)"
17,"3PXBET2GrTwCamkeDzKCx8DeGDyrbuGKoc 30d:+45177 BTCBalance:45,177 BTC ($2,718,917,153) Ins:3 Outs:0","45,177 BTC ($2,718,917,153)"
