Rank,Address,Balance
1,"34xp4vRoCGJym3xR7yCVPFHoCNxv4Twseowallet: Binance-coldwalletBalance:248,598 BTC ($14,867,102,353) Ins:2736 Outs:451","248,598 BTC ($14,867,102,353)"
2,"bc1qgdjqv0av3q56jvd82tkdjpy7gdp9ut8tlqmgrpmv24sq90ecnvqqjw..vw97wallet: Bitfinex-coldwalletBalance:180,010 BTC ($10,765,305,662) Ins:234 Outs:167","180,010 BTC ($10,765,305,662)"
3,"3M219KR5vEneNb47ewrPfWyb5jQ2DjxRP6wallet: Binance-coldwallet 30d:+1523 BTCBalance:142,776 BTC ($8,538,543,681) Ins:357 Outs:237","142,776 BTC ($8,538,543,681)"
4,"bc1ql49ydapnjafl5t2cp9zqpjwe6pdgmxy98859v2wallet: Robinhood-coldwalletBalance:140,625 BTC ($8,409,913,617) Ins:376 Outs:207","140,625 BTC ($8,409,913,617)"
5,"bc1qazcm763858nkj2dj986etajv6wquslv8uxwcztwallet: Bitfinex-Hack-RecoveryBalance:94,643 BTC ($5,660,050,020) Ins:108 Outs:0","94,643 BTC ($5,660,050,020)"
6,"1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uFwallet: MtGox-HackBalance:79,957 BTC ($4,781,756,845) Ins:593 Outs:0","79,957 BTC ($4,781,756,845)"
7,"bc1q8yj0herd4r4yxszw3nkfvt53433thk0f5qst4gBalance:78,317 BTC ($4,683,664,584) Ins:14 Outs:0","78,317 BTC ($4,683,664,584)"
8,"bc1qd4ysezhmypwty5dnw7c8nqy5h5nxg0xqsvaefd0qn5kq32vwnwqqgv..4rzr 7d:+3000 BTC / 30d:+6000 BTCBalance:76,000 BTC ($4,545,102,464) Ins:89 Outs:72","76,000 BTC ($4,545,102,464)"
9,"bc1qjasf9z3h7w3jspkhtgatgpyvvzgpa2wwd2lr0eh5tx44reyn2k7sfc..27a4wallet: TetherBalance:75,354 BTC ($4,506,468,534) Ins:87 Outs:60","75,354 BTC ($4,506,468,534)"
10,"1Ay8vMC7R1UbyCCZRVULMV7iQpHSAbguJPwallet: Mr.100 7d:+462.68 BTC / 30d:+7454 BTCBalance:75,079 BTC ($4,489,995,141) Ins:1302 Outs:414","75,079 BTC ($4,489,995,141)"
11,"bc1qa5wkgaew2dkv56kfvj49j0av5nml45x9ek9hz6wallet: SilkRoad-FBI-Confiscated Balance:69,370 BTC ($4,148,607,659) Ins:90 Outs:0","69,370 BTC ($4,148,607,659)"
12,"3LYJfcfHPXYJreMsASk2jkn69LWEYKzexbwallet: Binance-BTCB-ReserveBalance:68,200 BTC ($4,078,626,723) Ins:100 Outs:54","68,200 BTC ($4,078,626,723)"
13,"bc1qcv8h9hp5w8c4qpze0a4tdxw6qjtvg8yps23k0g3aymxx7jlesv4q4t..6f65wallet: Kraken-coldwallet 7d:-399.69 BTC / 30d:-833.32 BTCBalance:59,705 BTC ($3,570,593,023) Ins:89 Outs:32","59,705 BTC ($3,570,593,023)"
14,"1LdRcdxfbSnmCYYNdeYpUnztiYzVfBEQeCBalance:53,880 BTC ($3,222,238,302) Ins:184 Outs:0","53,880 BTC ($3,222,238,302)"
15,"1AC4fMwgY8j9onSbXEWeH6Zan8QGMSdmtABalance:51,830 BTC ($3,099,660,383) Ins:130 Outs:0","51,830 BTC ($3,099,660,383)"
16,"bc1q4j7fcl8zx5yl56j00nkqez9zf3f6ggqchwzzcs5hjxwqhsgxvavq3q..fgprwallet: Coincheck 7d:+62.85 BTC / 30d:+253.44 BTCBalance:46,084 BTC ($2,755,998,062) Ins:931 Outs:887","46,084 BTC ($2,755,998,062)"
17,"3PXBET2GrTwCamkeDzKCx8DeGDyrbuGKoc 30d:+45177 BTCBalance:45,177 BTC ($2,701,784,261) Ins:3 Outs:0","45,177 BTC ($2,701,784,261)"
18,"1LruNZjwamWJXThX2Y8C2d47QqhAkkc5osBalance:44,000 BTC ($2,631,377,045) Ins:60 Outs:0","44,000 BTC ($2,631,377,045)"
19,"3MgEAFWu1HKSnZ5ZsC8qf61ZW18xrP5pgdwallet: OKExBalance:41,663 BTC ($2,491,604,174) Ins:450 Outs:215","41,663 BTC ($2,491,604,174)"
21,"3LQUu4v9z6KNch71j7kbj8GPeAGUo1FW6awallet: Binance-coldwalletBalance:37,927 BTC ($2,268,187,398) Ins:36 Outs:0","37,927 BTC ($2,268,187,398)"
22,"bc1q7ydrtdn8z62xhslqyqtyt38mm4e2c4h3mxjkugwallet: UK-Gov-ConfiscatedBalance:36,000 BTC ($2,152,965,907) Ins:45 Outs:0","36,000 BTC ($2,152,965,907)"
23,"bc1qk4m9zv5tnxf2pddd565wugsjrkqkfn90aa0wypj2530f4f7tjwrqnt..penswallet: BITMEX-coldwalletBalance:35,277 BTC ($2,109,718,101) Ins:77 Outs:3","35,277 BTC ($2,109,718,101)"
24,"12Gws9EsEiDZLinu2SWkHdk7TcobjTau9uwallet: MtGox-coldwalletBalance:32,371 BTC ($1,935,931,443) Ins:6 Outs:0","32,371 BTC ($1,935,931,443)"
25,"12XqeqZRVkBDgmPLVY4ZC6Y4ruUUEug8FxBalance:32,321 BTC ($1,932,922,154) Ins:47 Outs:10","32,321 BTC ($1,932,922,154)"
26,"bc1qx9t2l3pyny2spqpqlye8svce70nppwtaxwdrp4wallet: Binance-PoolBalance:31,643 BTC ($1,892,398,934) Ins:4748 Outs:1","31,643 BTC ($1,892,398,934)"
27,"3FHNBLobJnbCTFTVakh5TXmEneyf5PT61Bwallet: Binance-coldwalletBalance:31,275 BTC ($1,870,388,225) Ins:38 Outs:0","31,275 BTC ($1,870,388,225)"
28,"12ib7dApVFvg82TXKycWBNpN8kFyiAN1drwallet: 967Balance:31,000 BTC ($1,853,925,521) Ins:174 Outs:4","31,000 BTC ($1,853,925,521)"
29,"12tkqA9xSoowkzoERHMWNKsTey55YEBqkvBalance:28,151 BTC ($1,683,543,298) Ins:158 Outs:0","28,151 BTC ($1,683,543,298)"
30,"39eYrpgAgDhp4tTjrSb1ppZ5kdAc1ikBYwBalance:26,139 BTC ($1,563,237,283) Ins:7 Outs:1","26,139 BTC ($1,563,237,283)"
31,"bc1qr4dl5wa7kl8yu792dceg9z5knl2gkn220lk7a9wallet: Crypto.com-coldwallet 7d:+6.76 BTC / 30d:+415.07 BTCBalance:25,853 BTC ($1,546,135,056) Ins:28826 Outs:26978","25,853 BTC ($1,546,135,056)"
32,"1Pzaqw98PeRfyHypfqyEgg5yycJRsENrE7wallet: Binance-coldwallet 7d:-4926 BTC / 30d:+19328 BTCBalance:24,789 BTC ($1,482,471,848) Ins:84 Outs:60","24,789 BTC ($1,482,471,848)"
33,"17MWdxfjPYP2PYhdy885QtihfbW181r1rnBalance:24,495 BTC ($1,464,917,637) Ins:24 Outs:0","24,495 BTC ($1,464,917,637)"
