Rank,Address,Balance
1,"34xp4vRoCGJym3xR7yCVPFHoCNxv4Twseowallet: Binance-coldwalletBalance:248,598 BTC ($14,940,858,698) Ins:2736 Outs:451","248,598 BTC ($14,940,858,698)"
2,"bc1qgdjqv0av3q56jvd82tkdjpy7gdp9ut8tlqmgrpmv24sq90ecnvqqjw..vw97wallet: Bitfinex-coldwalletBalance:180,010 BTC ($10,818,712,814) Ins:234 Outs:167","180,010 BTC ($10,818,712,814)"
3,"3M219KR5vEneNb47ewrPfWyb5jQ2DjxRP6wallet: Binance-coldwallet 30d:+1523 BTCBalance:142,776 BTC ($8,580,903,769) Ins:357 Outs:237","142,776 BTC ($8,580,903,769)"
4,"bc1ql49ydapnjafl5t2cp9zqpjwe6pdgmxy98859v2wallet: Robinhood-coldwalletBalance:140,625 BTC ($8,451,635,566) Ins:376 Outs:207","140,625 BTC ($8,451,635,566)"
5,"bc1qazcm763858nkj2dj986etajv6wquslv8uxwcztwallet: Bitfinex-Hack-RecoveryBalance:94,643 BTC ($5,688,129,775) Ins:108 Outs:0","94,643 BTC ($5,688,129,775)"
6,"1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uFwallet: MtGox-HackBalance:79,957 BTC ($4,805,479,349) Ins:593 Outs:0","79,957 BTC ($4,805,479,349)"
7,"bc1q8yj0herd4r4yxszw3nkfvt53433thk0f5qst4gBalance:78,317 BTC ($4,706,900,449) Ins:14 Outs:0","78,317 BTC ($4,706,900,449)"
8,"bc1qd4ysezhmypwty5dnw7c8nqy5h5nxg0xqsvaefd0qn5kq32vwnwqqgv..4rzr 7d:+3000 BTC / 30d:+6000 BTCBalance:76,000 BTC ($4,567,650,916) Ins:89 Outs:72","76,000 BTC ($4,567,650,916)"
9,"bc1qjasf9z3h7w3jspkhtgatgpyvvzgpa2wwd2lr0eh5tx44reyn2k7sfc..27a4wallet: TetherBalance:75,354 BTC ($4,528,825,321) Ins:87 Outs:60","75,354 BTC ($4,528,825,321)"
10,"1Ay8vMC7R1UbyCCZRVULMV7iQpHSAbguJPwallet: Mr.100 7d:+373.95 BTC / 30d:+6948 BTCBalance:75,079 BTC ($4,512,270,204) Ins:1302 Outs:414","75,079 BTC ($4,512,270,204)"
11,"bc1qa5wkgaew2dkv56kfvj49j0av5nml45x9ek9hz6wallet: SilkRoad-FBI-Confiscated Balance:69,370 BTC ($4,169,189,083) Ins:90 Outs:0","69,370 BTC ($4,169,189,083)"
12,"3LYJfcfHPXYJreMsASk2jkn69LWEYKzexbwallet: Binance-BTCB-ReserveBalance:68,200 BTC ($4,098,860,968) Ins:100 Outs:54","68,200 BTC ($4,098,860,968)"
13,"bc1qcv8h9hp5w8c4qpze0a4tdxw6qjtvg8yps23k0g3aymxx7jlesv4q4t..6f65wallet: Kraken-coldwallet 7d:-399.69 BTC / 30d:-767.71 BTCBalance:59,705 BTC ($3,588,306,891) Ins:89 Outs:32","59,705 BTC ($3,588,306,891)"
14,"1LdRcdxfbSnmCYYNdeYpUnztiYzVfBEQeCBalance:53,880 BTC ($3,238,223,967) Ins:184 Outs:0","53,880 BTC ($3,238,223,967)"
15,"1AC4fMwgY8j9onSbXEWeH6Zan8QGMSdmtABalance:51,830 BTC ($3,115,037,934) Ins:130 Outs:0","51,830 BTC ($3,115,037,934)"
16,"bc1q4j7fcl8zx5yl56j00nkqez9zf3f6ggqchwzzcs5hjxwqhsgxvavq3q..fgprwallet: Coincheck 7d:+47.43 BTC / 30d:+162.01 BTCBalance:46,084 BTC ($2,769,670,689) Ins:931 Outs:887","46,084 BTC ($2,769,670,689)"
17,"3PXBET2GrTwCamkeDzKCx8DeGDyrbuGKoc 30d:+45177 BTCBalance:45,177 BTC ($2,715,187,930) Ins:3 Outs:0","45,177 BTC ($2,715,187,930)"
18,"1LruNZjwamWJXThX2Y8C2d47QqhAkkc5osBalance:44,000 BTC ($2,644,431,422) Ins:60 Outs:0","44,000 BTC ($2,644,431,422)"
19,"3MgEAFWu1HKSnZ5ZsC8qf61ZW18xrP5pgdwallet: OKExBalance:41,663 BTC ($2,503,965,131) Ins:450 Outs:215","41,663 BTC ($2,503,965,131)"
21,"3LQUu4v9z6KNch71j7kbj8GPeAGUo1FW6awallet: Binance-coldwalletBalance:37,927 BTC ($2,279,439,975) Ins:36 Outs:0","37,927 BTC ($2,279,439,975)"
22,"bc1q7ydrtdn8z62xhslqyqtyt38mm4e2c4h3mxjkugwallet: UK-Gov-ConfiscatedBalance:36,000 BTC ($2,163,646,865) Ins:45 Outs:0","36,000 BTC ($2,163,646,865)"
23,"bc1qk4m9zv5tnxf2pddd565wugsjrkqkfn90aa0wypj2530f4f7tjwrqnt..penswallet: BITMEX-coldwalletBalance:35,277 BTC ($2,120,184,505) Ins:77 Outs:3","35,277 BTC ($2,120,184,505)"
24,"12Gws9EsEiDZLinu2SWkHdk7TcobjTau9uwallet: MtGox-coldwalletBalance:32,371 BTC ($1,945,535,684) Ins:6 Outs:0","32,371 BTC ($1,945,535,684)"
25,"12XqeqZRVkBDgmPLVY4ZC6Y4ruUUEug8FxBalance:32,321 BTC ($1,942,511,465) Ins:47 Outs:10","32,321 BTC ($1,942,511,465)"
26,"bc1qx9t2l3pyny2spqpqlye8svce70nppwtaxwdrp4wallet: Binance-PoolBalance:31,643 BTC ($1,901,787,208) Ins:4748 Outs:1","31,643 BTC ($1,901,787,208)"
27,"3FHNBLobJnbCTFTVakh5TXmEneyf5PT61Bwallet: Binance-coldwalletBalance:31,275 BTC ($1,879,667,302) Ins:38 Outs:0","31,275 BTC ($1,879,667,302)"
28,"12ib7dApVFvg82TXKycWBNpN8kFyiAN1drwallet: 967Balance:31,000 BTC ($1,863,122,926) Ins:174 Outs:4","31,000 BTC ($1,863,122,926)"
29,"12tkqA9xSoowkzoERHMWNKsTey55YEBqkvBalance:28,151 BTC ($1,691,895,430) Ins:158 Outs:0","28,151 BTC ($1,691,895,430)"
30,"39eYrpgAgDhp4tTjrSb1ppZ5kdAc1ikBYwBalance:26,139 BTC ($1,570,992,571) Ins:7 Outs:1","26,139 BTC ($1,570,992,571)"
31,"bc1qr4dl5wa7kl8yu792dceg9z5knl2gkn220lk7a9wallet: Crypto.com-coldwallet 7d:-443.86 BTC / 30d:-211.36 BTCBalance:25,536 BTC ($1,534,716,144) Ins:28847 Outs:27080","25,536 BTC ($1,534,716,144)"
32,"1Pzaqw98PeRfyHypfqyEgg5yycJRsENrE7wallet: Binance-coldwallet 7d:-4926 BTC / 30d:+19328 BTCBalance:24,789 BTC ($1,489,826,456) Ins:84 Outs:60","24,789 BTC ($1,489,826,456)"
