Rank,Address,Balance
1,"34xp4vRoCGJym3xR7yCVPFHoCNxv4Twseowallet: Binance-coldwalletBalance:248,598 BTC ($14,911,283,088) Ins:2736 Outs:451","248,598 BTC ($14,911,283,088)"
2,"bc1qgdjqv0av3q56jvd82tkdjpy7gdp9ut8tlqmgrpmv24sq90ecnvqqjw..vw97wallet: Bitfinex-coldwalletBalance:180,010 BTC ($10,797,297,042) Ins:234 Outs:167","180,010 BTC ($10,797,297,042)"
3,"3M219KR5vEneNb47ewrPfWyb5jQ2DjxRP6wallet: Binance-coldwallet 30d:+1523 BTCBalance:142,776 BTC ($8,563,917,767) Ins:357 Outs:237","142,776 BTC ($8,563,917,767)"
4,"bc1ql49ydapnjafl5t2cp9zqpjwe6pdgmxy98859v2wallet: Robinhood-coldwalletBalance:140,625 BTC ($8,434,905,452) Ins:376 Outs:207","140,625 BTC ($8,434,905,452)"
5,"bc1qazcm763858nkj2dj986etajv6wquslv8uxwcztwallet: Bitfinex-Hack-RecoveryBalance:94,643 BTC ($5,676,870,054) Ins:108 Outs:0","94,643 BTC ($5,676,870,054)"
6,"1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uFwallet: MtGox-HackBalance:79,957 BTC ($4,795,966,845) Ins:593 Outs:0","79,957 BTC ($4,795,966,845)"
7,"bc1q8yj0herd4r4yxszw3nkfvt53433thk0f5qst4gBalance:78,317 BTC ($4,697,583,083) Ins:14 Outs:0","78,317 BTC ($4,697,583,083)"
8,"bc1qd4ysezhmypwty5dnw7c8nqy5h5nxg0xqsvaefd0qn5kq32vwnwqqgv..4rzr 7d:+3000 BTC / 30d:+6000 BTCBalance:76,000 BTC ($4,558,609,196) Ins:89 Outs:72","76,000 BTC ($4,558,609,196)"
9,"bc1qjasf9z3h7w3jspkhtgatgpyvvzgpa2wwd2lr0eh5tx44reyn2k7sfc..27a4wallet: TetherBalance:75,354 BTC ($4,519,860,457) Ins:87 Outs:60","75,354 BTC ($4,519,860,457)"
10,"1Ay8vMC7R1UbyCCZRVULMV7iQpHSAbguJPwallet: Mr.100 7d:+462.68 BTC / 30d:+7454 BTCBalance:75,079 BTC ($4,503,338,110) Ins:1302 Outs:414","75,079 BTC ($4,503,338,110)"
11,"bc1qa5wkgaew2dkv56kfvj49j0av5nml45x9ek9hz6wallet: SilkRoad-FBI-Confiscated Balance:69,370 BTC ($4,160,936,123) Ins:90 Outs:0","69,370 BTC ($4,160,936,123)"
12,"3LYJfcfHPXYJreMsASk2jkn69LWEYKzexbwallet: Binance-BTCB-ReserveBalance:68,200 BTC ($4,090,747,224) Ins:100 Outs:54","68,200 BTC ($4,090,747,224)"
13,"bc1qcv8h9hp5w8c4qpze0a4tdxw6qjtvg8yps23k0g3aymxx7jlesv4q4t..6f65wallet: Kraken-coldwallet 7d:-399.69 BTC / 30d:-833.32 BTCBalance:59,705 BTC ($3,581,203,795) Ins:89 Outs:32","59,705 BTC ($3,581,203,795)"
14,"1LdRcdxfbSnmCYYNdeYpUnztiYzVfBEQeCBalance:53,880 BTC ($3,231,813,863) Ins:184 Outs:0","53,880 BTC ($3,231,813,863)"
15,"1AC4fMwgY8j9onSbXEWeH6Zan8QGMSdmtABalance:51,830 BTC ($3,108,871,678) Ins:130 Outs:0","51,830 BTC ($3,108,871,678)"
16,"bc1q4j7fcl8zx5yl56j00nkqez9zf3f6ggqchwzzcs5hjxwqhsgxvavq3q..fgprwallet: Coincheck 7d:+62.85 BTC / 30d:+253.44 BTCBalance:46,084 BTC ($2,764,188,093) Ins:931 Outs:887","46,084 BTC ($2,764,188,093)"
17,"3PXBET2GrTwCamkeDzKCx8DeGDyrbuGKoc 30d:+45177 BTCBalance:45,177 BTC ($2,709,813,183) Ins:3 Outs:0","45,177 BTC ($2,709,813,183)"
18,"1LruNZjwamWJXThX2Y8C2d47QqhAkkc5osBalance:44,000 BTC ($2,639,196,738) Ins:60 Outs:0","44,000 BTC ($2,639,196,738)"
19,"3MgEAFWu1HKSnZ5ZsC8qf61ZW18xrP5pgdwallet: OKExBalance:41,663 BTC ($2,499,008,502) Ins:450 Outs:215","41,663 BTC ($2,499,008,502)"
21,"3LQUu4v9z6KNch71j7kbj8GPeAGUo1FW6awallet: Binance-coldwalletBalance:37,927 BTC ($2,274,927,796) Ins:36 Outs:0","37,927 BTC ($2,274,927,796)"
22,"bc1q7ydrtdn8z62xhslqyqtyt38mm4e2c4h3mxjkugwallet: UK-Gov-ConfiscatedBalance:36,000 BTC ($2,159,363,900) Ins:45 Outs:0","36,000 BTC ($2,159,363,900)"
23,"bc1qk4m9zv5tnxf2pddd565wugsjrkqkfn90aa0wypj2530f4f7tjwrqnt..penswallet: BITMEX-coldwalletBalance:35,277 BTC ($2,115,987,574) Ins:77 Outs:3","35,277 BTC ($2,115,987,574)"
24,"12Gws9EsEiDZLinu2SWkHdk7TcobjTau9uwallet: MtGox-coldwalletBalance:32,371 BTC ($1,941,684,472) Ins:6 Outs:0","32,371 BTC ($1,941,684,472)"
25,"12XqeqZRVkBDgmPLVY4ZC6Y4ruUUEug8FxBalance:32,321 BTC ($1,938,666,240) Ins:47 Outs:10","32,321 BTC ($1,938,666,240)"
26,"bc1qx9t2l3pyny2spqpqlye8svce70nppwtaxwdrp4wallet: Binance-PoolBalance:31,643 BTC ($1,898,022,597) Ins:4748 Outs:1","31,643 BTC ($1,898,022,597)"
27,"3FHNBLobJnbCTFTVakh5TXmEneyf5PT61Bwallet: Binance-coldwalletBalance:31,275 BTC ($1,875,946,478) Ins:38 Outs:0","31,275 BTC ($1,875,946,478)"
28,"12ib7dApVFvg82TXKycWBNpN8kFyiAN1drwallet: 967Balance:31,000 BTC ($1,859,434,852) Ins:174 Outs:4","31,000 BTC ($1,859,434,852)"
29,"12tkqA9xSoowkzoERHMWNKsTey55YEBqkvBalance:28,151 BTC ($1,688,546,303) Ins:158 Outs:0","28,151 BTC ($1,688,546,303)"
30,"39eYrpgAgDhp4tTjrSb1ppZ5kdAc1ikBYwBalance:26,139 BTC ($1,567,882,772) Ins:7 Outs:1","26,139 BTC ($1,567,882,772)"
31,"bc1qr4dl5wa7kl8yu792dceg9z5knl2gkn220lk7a9wallet: Crypto.com-coldwallet 7d:+6.76 BTC / 30d:+415.07 BTCBalance:25,853 BTC ($1,550,729,723) Ins:28826 Outs:26978","25,853 BTC ($1,550,729,723)"
32,"1Pzaqw98PeRfyHypfqyEgg5yycJRsENrE7wallet: Binance-coldwallet 7d:-4926 BTC / 30d:+19328 BTCBalance:24,789 BTC ($1,486,877,326) Ins:84 Outs:60","24,789 BTC ($1,486,877,326)"
33,"17MWdxfjPYP2PYhdy885QtihfbW181r1rnBalance:24,495 BTC ($1,469,270,949) Ins:24 Outs:0","24,495 BTC ($1,469,270,949)"
34,"38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67 2-of-6wallet: OKExBalance:24,067 BTC ($1,443,576,121) Ins:313 Outs:224","24,067 BTC ($1,443,576,121)"
35,"19D5J8c59P2bAkWKvxSYw8scD3KUNWoZ1CBalance:23,969 BTC ($1,437,699,698) Ins:28 Outs:0","23,969 BTC ($1,437,699,698)"
36,"15cHRgVrGKz7qp2JL2N5mkB2MCFGLcnHxvBalance:23,375 BTC ($1,402,070,894) Ins:44 Outs:2","23,375 BTC ($1,402,070,894)"
37,"bc1qhxf9ckyz7sw8h6vkvdlffntmsu6fz8m3pdzgvwwallet: Revolut-coldwalletBalance:23,323 BTC ($1,398,936,043) Ins:16 Outs:0","23,323 BTC ($1,398,936,043)"
38,"bc1qe2n7t4h47l33cazdlfa0hzs5tfke35dzj6tzuy 7d:+18159 BTC / 30d:+23085 BTCBalance:23,085 BTC ($1,384,653,245) Ins:27 Outs:0","23,085 BTC ($1,384,653,245)"
39,"3JZq4atUahhuA9rLhXLMhhTo133J9rF97jwallet: Bitfinex-coldwallet 7d:+338.35 BTC / 30d:-548.31 BTCBalance:22,694 BTC ($1,361,250,024) Ins:5145 Outs:5118","22,694 BTC ($1,361,250,024)"
40,"3HfD4pvF43jdu9dzVMEr1b8AnDHooRGc5t 3-of-9wallet: 107121673Balance:20,271 BTC ($1,215,917,201) Ins:13 Outs:2","20,271 BTC ($1,215,917,201)"
41,"bc1qcpflj68s3ahy4xajez4d8v3vk28pvf7qte2jmlftvxzfke2u6mqsge..3gvh 7d:+514 BTC / 30d:+1060 BTCBalance:20,155 BTC ($1,208,929,599) Ins:135 Outs:125","20,155 BTC ($1,208,929,599)"
42,"17rm2dvb439dZqyMe2d4D6AQJSgg6yeNRnBalance:20,008 BTC ($1,200,112,503) Ins:79 Outs:1","20,008 BTC ($1,200,112,503)"
43,"bc1qngydl7hmgdtmuqjmtsyj3pcwszv0yn5mj6kz4cwallet: SilkRoad-DOJ-ConfiscatedBalance:19,800 BTC ($1,187,635,721) Ins:17 Outs:0","19,800 BTC ($1,187,635,721)"
44,"1PeizMg76Cf96nUQrYg8xuoZWLQozU5zGWBalance:19,414 BTC ($1,164,509,164) Ins:115 Outs:0","19,414 BTC ($1,164,509,164)"
45,"3EMVdMehEq5SFipQ5UfbsfMsH223sSz9A9 4-of-8Balance:19,209 BTC ($1,152,176,579) Ins:69 Outs:45","19,209 BTC ($1,152,176,579)"
46,"bc1qchctnvmdva5z9vrpxkkxck64v7nmzdtyxsrq64wallet: BitMEX 7d:+16.07 BTC / 30d:-131.85 BTCBalance:18,800 BTC ($1,127,657,891) Ins:516 Outs:511","18,800 BTC ($1,127,657,891)"
47,"bc1qjh0akslml59uuczddqu0y4p3vj64hg5mc94c40wallet: Kraken-coldwallet 7d:+500 BTC / 30d:+500 BTCBalance:18,559 BTC ($1,113,171,137) Ins:1220 Outs:162","18,559 BTC ($1,113,171,137)"
48,"bc1qcdqj2smprre85c78d942wx5tauw5n7uw92r7wrwallet: Crypto.com-coldwallet 7d:+187.1 BTC / 30d:+37.48 BTCBalance:18,552 BTC ($1,112,761,618) Ins:34510 Outs:29728","18,552 BTC ($1,112,761,618)"
49,"bc1qy0wxk2v2lv8wqxpjtupzx7lykla4c3y5wf5u7gBalance:18,400 BTC ($1,103,664,718) Ins:4 Outs:0","18,400 BTC ($1,103,664,718)"
50,"bc1qx2x5cqhymfcnjtg902ky6u5t5htmt7fvqztdsm028hkrvxcl4t2sjt..pd9lwallet: Bitbank-coldwallet 7d:-39.14 BTC / 30d:+311.56 BTCBalance:17,996 BTC ($1,079,438,717) Ins:3485 Outs:3462","17,996 BTC ($1,079,438,717)"
51,"143gLvWYUojXaWZRrxquRKpVNTkhmr415Bwallet: Huobi-coldwallet 7d:+6662 BTC / 30d:+6745 BTCBalance:17,276 BTC ($1,036,219,027) Ins:320 Outs:139","17,276 BTC ($1,036,219,027)"
52,"bc1qxezna9h8dut8y4s30pjaw0ftk6nqen4rwe7wmm 7d:+878.94 BTC / 30d:+16569 BTCBalance:16,569 BTC ($993,821,571) Ins:10 Outs:0","16,569 BTC ($993,821,571)"
53,"34HpHYiyQwg69gFmCq2BGHjF1DZnZnBeBPwallet: Binance-coldwalletBalance:16,307 BTC ($978,098,135) Ins:15 Outs:0","16,307 BTC ($978,098,135)"
54,"bc1q968e7dl5cq938tz87uwqyyd4and4mjhgyelfyqwallet: OKEx 30d:+2600 BTCBalance:16,164 BTC ($969,539,185) Ins:5 Outs:0","16,164 BTC ($969,539,185)"
55,"1GR9qNz7zgtaW5HwwVpEJWMnGWhsbsieCGBalance:15,746 BTC ($944,444,269) Ins:76 Outs:1","15,746 BTC ($944,444,269)"
56,"1CNtkWbb4grh8xtb8mhoZ6armNE9PHgzA8 7d:+8.79 BTC / 30d:+8.79 BTCBalance:14,441 BTC ($866,174,346) Ins:104 Outs:6","14,441 BTC ($866,174,346)"
57,"39gUvGynQ7Re3i15G3J2gp9DEB9LnLFPMN 7d:-850.01 BTC / 30d:-340 BTCBalance:14,162 BTC ($849,472,238) Ins:304 Outs:270","14,162 BTC ($849,472,238)"
58,"bc1q6qphr80zug3v37xf503a7atzfn3au2fz0dy9ek 7d:+14002 BTC / 30d:+14002 BTCBalance:14,002 BTC ($839,860,229) Ins:760 Outs:753","14,002 BTC ($839,860,229)"
59,"1BZaYtmXka1y3Byi2yvXCDG92Tjz7ecwYjBalance:14,000 BTC ($839,742,832) Ins:61 Outs:0","14,000 BTC ($839,742,832)"
60,"bc1qk7fy6qumtdkjy765ujxqxe0my55ake0zefa2dmt6sjx2sr098d8qf2..6ufn 7d:+30 BTC / 30d:-514.79 BTCBalance:13,712 BTC ($822,487,877) Ins:144 Outs:37","13,712 BTC ($822,487,877)"
61,"bc1q4vxn43l44h30nkluqfxd9eckf45vr2awz38lwawallet: UK-Gov-ConfiscatedBalance:13,003 BTC ($779,942,424) Ins:19 Outs:0","13,003 BTC ($779,942,424)"
62,"1932eKraQ3Ad9MeNBHb14WFQbNrLaKeEpTwallet: Deribit-coldwalletBalance:12,900 BTC ($773,749,757) Ins:42 Outs:3","12,900 BTC ($773,749,757)"
63,"1CiAnTJn6eHTU89PeihdMhT7KcQZxVZ4fyBalance:12,858 BTC ($771,242,048) Ins:19 Outs:0","12,858 BTC ($771,242,048)"
64,"bc1qkmk4v2xn29yge68fq6zh7gvfdqrvpq3v3p3y0swallet: Bitfinex-Hack-RecoveryBalance:12,267 BTC ($735,796,000) Ins:3 Outs:0","12,267 BTC ($735,796,000)"
65,"1PJiGp2yDLvUgqeBsuZVCBADArNsk6XEiwwallet: Binance-coldwallet 7d:-74 BTC / 30d:-828 BTCBalance:12,172 BTC ($730,096,781) Ins:50 Outs:21","12,172 BTC ($730,096,781)"
66,"bc1qtrxc0use4hlm7fl0j6t37z7qlwl5eppj8lywz6wallet: Kraken-coldwallet 7d:+12.26 BTC / 30d:+12.26 BTCBalance:12,165 BTC ($729,696,302) Ins:969 Outs:148","12,165 BTC ($729,696,302)"
67,"1PuQBjpPfAuANa3KM4HBdfF98BC7wnWhTb 30d:+12000 BTCBalance:12,000 BTC ($719,788,407) Ins:1 Outs:0","12,000 BTC ($719,788,407)"
68,"bc1q5vwscmf85w2vlq0qvr33dgpvu5rlrd42cqw6qn 7d:-94.52 BTC / 30d:-1640 BTCBalance:11,126 BTC ($667,336,143) Ins:297 Outs:296","11,126 BTC ($667,336,143)"
