Rank,Address,Balance
1,"34xp4vRoCGJym3xR7yCVPFHoCNxv4Twseowallet: Binance-coldwalletBalance:248,598 BTC ($14,977,392,789) Ins:2745 Outs:451","248,598 BTC ($14,977,392,789)"
2,"bc1qgdjqv0av3q56jvd82tkdjpy7gdp9ut8tlqmgrpmv24sq90ecnvqqjw..vw97wallet: Bitfinex-coldwalletBalance:180,010 BTC ($10,845,167,237) Ins:234 Outs:167","180,010 BTC ($10,845,167,237)"
3,"3M219KR5vEneNb47ewrPfWyb5jQ2DjxRP6wallet: Binance-coldwallet 30d:+1523 BTCBalance:142,776 BTC ($8,601,886,197) Ins:357 Outs:237","142,776 BTC ($8,601,886,197)"
4,"bc1ql49ydapnjafl5t2cp9zqpjwe6pdgmxy98859v2wallet: Robinhood-coldwalletBalance:140,625 BTC ($8,472,301,901) Ins:376 Outs:207","140,625 BTC ($8,472,301,901)"
5,"bc1qazcm763858nkj2dj986etajv6wquslv8uxwcztwallet: Bitfinex-Hack-RecoveryBalance:94,643 BTC ($5,702,038,657) Ins:108 Outs:0","94,643 BTC ($5,702,038,657)"
6,"1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uFwallet: MtGox-HackBalance:79,957 BTC ($4,817,229,932) Ins:593 Outs:0","79,957 BTC ($4,817,229,932)"
7,"bc1q8yj0herd4r4yxszw3nkfvt53433thk0f5qst4gBalance:78,317 BTC ($4,718,409,982) Ins:14 Outs:0","78,317 BTC ($4,718,409,982)"
8,"bc1qd4ysezhmypwty5dnw7c8nqy5h5nxg0xqsvaefd0qn5kq32vwnwqqgv..4rzr 7d:+3000 BTC / 30d:+6000 BTCBalance:76,000 BTC ($4,578,819,950) Ins:89 Outs:72","76,000 BTC ($4,578,819,950)"
9,"bc1qjasf9z3h7w3jspkhtgatgpyvvzgpa2wwd2lr0eh5tx44reyn2k7sfc..27a4wallet: TetherBalance:75,354 BTC ($4,539,899,417) Ins:87 Outs:60","75,354 BTC ($4,539,899,417)"
10,"1Ay8vMC7R1UbyCCZRVULMV7iQpHSAbguJPwallet: Mr.100 7d:+373.95 BTC / 30d:+6948 BTCBalance:75,079 BTC ($4,523,303,821) Ins:1303 Outs:414","75,079 BTC ($4,523,303,821)"
11,"bc1qa5wkgaew2dkv56kfvj49j0av5nml45x9ek9hz6wallet: SilkRoad-FBI-Confiscated Balance:69,370 BTC ($4,179,383,779) Ins:90 Outs:0","69,370 BTC ($4,179,383,779)"
12,"3LYJfcfHPXYJreMsASk2jkn69LWEYKzexbwallet: Binance-BTCB-ReserveBalance:68,200 BTC ($4,108,883,695) Ins:100 Outs:54","68,200 BTC ($4,108,883,695)"
13,"bc1qcv8h9hp5w8c4qpze0a4tdxw6qjtvg8yps23k0g3aymxx7jlesv4q4t..6f65wallet: Kraken-coldwallet 7d:-399.69 BTC / 30d:-767.71 BTCBalance:59,705 BTC ($3,597,081,187) Ins:89 Outs:32","59,705 BTC ($3,597,081,187)"
14,"1LdRcdxfbSnmCYYNdeYpUnztiYzVfBEQeCBalance:53,880 BTC ($3,246,142,224) Ins:184 Outs:0","53,880 BTC ($3,246,142,224)"
15,"1AC4fMwgY8j9onSbXEWeH6Zan8QGMSdmtABalance:51,830 BTC ($3,122,654,970) Ins:130 Outs:0","51,830 BTC ($3,122,654,970)"
